Keyword,Position,Search Volume,Traffic,URL,Keyword Difficulty,CPC,Keyword Intents,SERP Features by Keyword
scripts by honahlee,41,590,1.24,https://www.healingleaves.com.au/find-a-pharmacy-or-dispensary-for-your-script,0,9.82,informational,"organic,related_searches"
my leaf login,14,210,1.18,https://www.healingleaves.com.au/,0,1.22,navigational,"organic,related_searches"
leaf doctors portal,17,260,1.12,https://www.healingleaves.com.au/,0,3.67,navigational,"organic,related_searches"
list of authorised prescribers sa,17,260,1.12,https://www.healingleaves.com.au/south-australia-telehealth-clinic,0,12.64,navigational,"ai_overview,organic,people_also_ask,related_searches"
medical marijuanas south australia,50,480,1.01,https://www.healingleaves.com.au/south-australia-telehealth-clinic,24,30.62,informational,"ai_overview,organic,related_searches,images"
medicinal marijuanas south australia,39,480,1.01,https://www.healingleaves.com.au/south-australia-telehealth-clinic,15,30.62,informational,"ai_overview,organic,discussions_and_forums,related_searches,google_reviews,knowledge_graph,images"
wild leaf dispensary,50,480,1.01,https://www.healingleaves.com.au/,6,18.56,commercial,"organic,people_also_ask,related_searches,third_party_reviews,google_reviews,knowledge_graph"
hello health townsville,19,320,0.86,https://www.healingleaves.com.au/regions/townsville-and-north-queensland,2,0,navigational,"organic,related_searches,third_party_reviews,google_reviews,knowledge_graph"
cannabis prescription online,60,390,0.82,https://www.healingleaves.com.au/regions/act,25,0,commercial,"organic,people_also_ask,related_searches"
how to get prescribed cannabinoids,86,390,0.82,https://www.healingleaves.com.au/regions/act,26,43.64,informational,"ai_overview,organic,discussions_and_forums,related_searches"
online cannabis prescription,62,390,0.82,https://www.healingleaves.com.au/regions/act,32,0,commercial,"organic,discussions_and_forums,people_also_ask,related_searches"
true leaf,43,390,0.82,https://www.healingleaves.com.au/,14,4.97,informational,"organic,people_also_ask,related_searches,images"
weed prescription online,70,390,0.82,https://www.healingleaves.com.au/regions/act,27,0,transactional,"organic,people_also_ask,related_searches"
leaf doctors newtown,21,320,0.74,https://www.healingleaves.com.au/,0,7.15,commercial,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph"
alternative medical therapies,73,320,0.67,https://www.healingleaves.com.au/regions/metropolitan-australia,59,13.57,informational,"ai_overview,organic,people_also_ask,images,related_searches"
alternative medical therapy,72,320,0.67,https://www.healingleaves.com.au/regions/south-west-sydney,46,13.57,informational,"ai_overview,organic,people_also_ask,local_pack,images,video,related_searches"
alternative medical treatment,68,320,0.67,https://www.healingleaves.com.au/regions/townsville-and-north-queensland,46,13.57,informational,"ai_overview,images,people_also_ask,organic,related_searches"
alternative medical treatments,65,320,0.67,https://www.healingleaves.com.au/regions/townsville-and-north-queensland,38,13.57,informational,"ai_overview,organic,people_also_ask,video,related_searches,images"
alternative medicine therapy,91,320,0.67,https://www.healingleaves.com.au/regions/south-west-sydney,52,13.57,informational,"ai_overview,organic,people_also_ask,local_pack,scholarly_articles,related_searches,images"
cbd doctors perth,83,320,0.67,https://www.healingleaves.com.au/western-australia-telehealth-clinic,4,2.72,commercial,"local_pack,organic,people_also_ask,related_searches"
doctors for medical cannabis,64,320,0.67,https://www.healingleaves.com.au/regions/northern-territory,24,51.04,informational,"ai_overview,local_pack,organic,people_also_ask,related_searches"
heyday medical,51,320,0.67,https://www.healingleaves.com.au/,0,34.22,navigational,"organic,google_reviews,knowledge_graph"
medical cannabinoids doctor,63,320,0.67,https://www.healingleaves.com.au/regions/act,24,51.04,informational,"local_pack,organic,related_searches"
medical marijuanas adelaide,56,320,0.67,https://www.healingleaves.com.au/south-australia-telehealth-clinic,24,44.6,informational,"ai_overview,organic,related_searches,google_reviews,knowledge_graph"
medical weed doctors,76,320,0.67,https://www.healingleaves.com.au/regions/act,24,51.04,commercial,"organic,ai_overview,discussions_and_forums,related_searches"
online cannabis prescription australia,39,320,0.67,https://www.healingleaves.com.au/,34,0,commercial,"organic,ai_overview,people_also_ask,discussions_and_forums,related_searches"
prescription for medical cannabis,91,320,0.67,https://www.healingleaves.com.au/regions/act,29,35.68,informational,"ai_overview,organic,people_also_ask,related_searches"
releaf dispensary,76,320,0.67,https://www.healingleaves.com.au/,4,0,navigational,"local_pack,organic,people_also_ask,related_searches"
medical marijuanas tasmania,36,320,0.63,https://www.healingleaves.com.au/regions/regional-tasmania,9,45.05,informational,"organic,discussions_and_forums,people_also_ask,paid,related_searches,knowledge_graph,google_reviews"
medical summaries,9,40,0.6,https://www.healingleaves.com.au/education/how-to-get-a-health-summary,30,0,informational,"featured_snippet,people_also_ask,organic,images,video,related_searches"
medical summary,9,40,0.6,https://www.healingleaves.com.au/education/how-to-get-a-health-summary,1,0,informational,"ai_overview,organic,people_also_ask,images,related_searches"
doctors to your door townsville,53,260,0.55,https://www.healingleaves.com.au/regions/townsville-and-north-queensland,4,2.32,navigational,"organic,people_also_ask,related_searches,knowledge_graph,google_reviews"
leaf doctor login,32,260,0.55,https://www.healingleaves.com.au/regions/queensland,0,5.43,navigational,"organic,related_searches"
medical cannabis australia online,58,260,0.55,https://www.healingleaves.com.au/western-australia-telehealth-clinic,32,0,commercial,"organic,ai_overview,people_also_ask,related_searches"
true green health,51,260,0.55,https://www.healingleaves.com.au/,0,12.07,commercial,"organic,local_pack,people_also_ask"
true leaf clinic,14,90,0.5,https://www.healingleaves.com.au/,31,6.75,informational,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph"
leaf doctor portal,16,110,0.47,https://www.healingleaves.com.au/,0,5.66,navigational,"organic,related_searches"
releaf byron bay,16,110,0.47,https://www.healingleaves.com.au/,0,10.1,informational,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph"
what is easykind,11,50,0.46,https://www.healingleaves.com.au/compare/healing-leaves-vs-easykind,15,0,informational,"ai_overview,organic,people_also_ask,short_videos,related_searches"
true leaf prahran,33,210,0.44,https://www.healingleaves.com.au/,4,2.15,informational,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph,images"
27-29 industrial ave molendinar qld australia 4214,14,70,0.39,https://www.healingleaves.com.au/faqs/how-do-i-setup-my-your-script-account,0,2.16,navigational,"map,google_reviews,organic,people_also_ask,related_searches"
my leaf stones corner,14,70,0.39,https://www.healingleaves.com.au/,0,2.55,navigational,"organic,people_also_ask,related_searches,knowledge_graph,google_reviews"
alternative health care,21,170,0.39,https://www.healingleaves.com.au/regions/north-coast-nsw,52,6.5,informational,"ai_overview,organic,people_also_ask,video,related_searches,knowledge_graph,google_reviews"
patient health summary,18,110,0.36,https://www.healingleaves.com.au/education/how-to-get-a-health-summary,0,0.11,informational,"ai_overview,organic,people_also_ask,images,video"
herbal healing,66,170,0.36,https://www.healingleaves.com.au/,19,2.41,informational,"ai_overview,organic,people_also_ask,related_searches,knowledge_graph,google_reviews,images"
medical marijuanas brisbane cost,46,170,0.36,https://www.healingleaves.com.au/,3,20.04,informational,"ai_overview,organic,related_searches"
medical marijuanas western australia,62,170,0.36,https://www.healingleaves.com.au/western-australia-telehealth-clinic,16,43.82,informational,"ai_overview,organic,discussions_and_forums,related_searches"
medicinal cannabinoids tasmania,44,170,0.36,https://www.healingleaves.com.au/regions/regional-tasmania,7,0,informational,"organic,discussions_and_forums,people_also_ask,related_searches,google_reviews,knowledge_graph"
medicinal cannabis tasmania,36,170,0.36,https://www.healingleaves.com.au/regions/regional-tasmania,3,0,informational,"organic,discussions_and_forums,people_also_ask,related_searches,knowledge_graph,google_reviews"
medicinal marijuanas western australia,64,170,0.36,https://www.healingleaves.com.au/western-australia-telehealth-clinic,16,43.82,informational,"ai_overview,organic,local_pack,related_searches"
medileaf health,29,170,0.36,https://www.healingleaves.com.au/,0,23.04,commercial,"organic,related_searches,knowledge_graph,google_reviews"
medreleaf australia,54,170,0.36,https://www.healingleaves.com.au/,0,16.83,informational,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph"
weed doctor near me,61,170,0.36,https://www.healingleaves.com.au/regions/act,28,41.49,navigational,"ai_overview,organic,people_also_ask,related_searches"
alternate health,17,70,0.3,https://www.healingleaves.com.au/regions/kimberley,4,16.12,informational,"organic,people_also_ask,related_searches"
healing website,17,70,0.3,https://www.healingleaves.com.au/,20,0.27,informational,"organic,related_searches"
leaf dispensary,17,70,0.3,https://www.healingleaves.com.au/,15,9.15,navigational,"local_pack,organic,related_searches"
cannabis doctors tasmania reviews,19,110,0.3,https://www.healingleaves.com.au/regions/regional-tasmania,0,0,informational,"organic,people_also_ask,discussions_and_forums,related_searches,knowledge_graph,google_reviews"
alternaleaf perth,45,140,0.29,https://www.healingleaves.com.au/western-australia-telehealth-clinic,0,18.08,navigational,"organic,people_also_ask,related_searches,knowledge_graph,google_reviews"
can i help clinic,47,140,0.29,https://www.healingleaves.com.au/,28,18.65,informational,"ai_overview,organic,people_also_ask"
medical marijuanas doctors,75,140,0.29,https://www.healingleaves.com.au/regions/northern-territory,24,22.32,informational,"local_pack,organic,related_searches"
medicinal cannabinoids adelaide,64,140,0.29,https://www.healingleaves.com.au/south-australia-telehealth-clinic,24,0,informational,"ai_overview,organic,local_pack"
medicinal cannabis adelaide,55,140,0.29,https://www.healingleaves.com.au/south-australia-telehealth-clinic,24,0,commercial,"local_pack,organic,people_also_ask,related_searches"
medicinal cannabis clinic near me,75,140,0.29,https://www.healingleaves.com.au/regions/act,24,38.77,commercial,"ai_overview,local_pack,people_also_ask,organic,related_searches"
medicinal dispensary,87,140,0.29,https://www.healingleaves.com.au/,31,25.58,commercial,"local_pack,organic,related_searches"
nuleaf clinics,32,140,0.29,https://www.healingleaves.com.au/regions/queensland,7,25.81,navigational,"organic,related_searches,knowledge_graph,google_reviews"
true leaf dispensary,40,140,0.29,https://www.healingleaves.com.au/,28,5.12,navigational,"organic,people_also_ask,related_searches,knowledge_graph,google_reviews"
what is alternative healing,84,140,0.29,https://www.healingleaves.com.au/education/exploring-alternative-wellness-practices-what-you-should-know,41,0,informational,"ai_overview,organic,people_also_ask,related_searches,images"
what is alternative health care,57,140,0.29,https://www.healingleaves.com.au/education/exploring-alternative-wellness-practices-what-you-should-know,46,0,informational,"ai_overview,organic,people_also_ask,video"
easykind australia,13,50,0.28,https://www.healingleaves.com.au/compare/healing-leaves-vs-easykind,10,8.08,commercial,"organic,people_also_ask,paid,related_searches,knowledge_graph,google_reviews,third_party_reviews"
telebuds review,19,90,0.24,https://www.healingleaves.com.au/regions/new-south-wales-telehealth-clinic,0,0,informational,"ai_overview,organic,people_also_ask,related_searches"
ariya health townsville,53,110,0.23,https://www.healingleaves.com.au/regions/townsville-and-north-queensland,2,0,navigational,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph"
dr leaf,56,110,0.23,https://www.healingleaves.com.au/,15,21.71,informational,"organic,people_also_ask,video,related_searches,images"
healthy healing clinic,23,110,0.23,https://www.healingleaves.com.au/education,6,0,navigational,"organic,local_pack,related_searches"
hemp leaf,38,110,0.23,https://www.healingleaves.com.au/,13,0,informational,"ai_overview,organic,people_also_ask,video,related_searches"
medical cannabis consult,68,110,0.23,https://www.healingleaves.com.au/regions/act,32,0,informational,"organic,related_searches,google_reviews,knowledge_graph"
medical cannabis consultation,62,110,0.23,https://www.healingleaves.com.au/regions/queensland,31,0,informational,"organic,discussions_and_forums,related_searches,google_reviews,knowledge_graph"
medical cannabis scripts,81,110,0.23,https://www.healingleaves.com.au/regions/act,24,0,informational,"ai_overview,organic,discussions_and_forums,related_searches"
medicanna health,42,110,0.23,https://www.healingleaves.com.au/,0,0,informational,"organic,related_searches,knowledge_graph,google_reviews"
medicinal cannabis prescriber,88,110,0.23,https://www.healingleaves.com.au/regions/act,19,0,informational,"ai_overview,organic,people_also_ask,discussions_and_forums,related_searches,images"
medicinal cannabis script,78,110,0.23,https://www.healingleaves.com.au/regions/act,25,0,transactional,"ai_overview,organic,discussions_and_forums,related_searches"
reedy creek chemist,33,110,0.23,https://www.healingleaves.com.au/pharmacies,0,0,navigational,"ai_overview,organic,people_also_ask,related_searches,google_reviews,knowledge_graph"
sirius green clinic,51,110,0.23,https://www.healingleaves.com.au/regions/new-south-wales-telehealth-clinic,0,21.6,navigational,"organic,people_also_ask,related_searches"
true green health newtown,43,110,0.23,https://www.healingleaves.com.au/,1,7.6,commercial,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph,images"
easykind products,17,50,0.22,https://www.healingleaves.com.au/compare/healing-leaves-vs-easykind,25,1.94,navigational,"organic,people_also_ask,ai_overview,images,related_searches"
medical leaf,16,50,0.22,https://www.healingleaves.com.au/,14,3.5,informational,"ai_overview,images,organic,people_also_ask,related_searches"
medical marijuanas qld free consultation,17,50,0.22,https://www.healingleaves.com.au/,32,29.11,commercial,"ai_overview,organic,local_pack,related_searches"
medicinal cannabis telehealth,44,90,0.21,https://www.healingleaves.com.au/regions/new-south-wales-telehealth-clinic,31,0,informational,"organic,discussions_and_forums,related_searches"
alternative health service,24,90,0.19,https://www.healingleaves.com.au/regions/north-coast-nsw,20,2.28,informational,"ai_overview,organic,people_also_ask,related_searches,google_reviews,knowledge_graph"
alternative health services,29,90,0.19,https://www.healingleaves.com.au/regions/gold-coast,24,2.28,informational,"ai_overview,organic,people_also_ask,video,related_searches,google_reviews,knowledge_graph"
alternative medicine australia,67,90,0.19,https://www.healingleaves.com.au/regions/south-west-sydney,28,11.4,informational,"ai_overview,organic,people_also_ask,video,related_searches"
anodynecann,31,90,0.19,https://www.healingleaves.com.au/,6,0,informational,"organic,related_searches,google_reviews,knowledge_graph"
canary health,29,90,0.19,https://www.healingleaves.com.au/,7,12.58,commercial,"organic,people_also_ask,related_searches,knowledge_graph,google_reviews"
canna telehealth,33,90,0.19,https://www.healingleaves.com.au/western-australia-telehealth-clinic,11,29.97,navigational,"organic,related_searches"
easykind product list australia,19,70,0.19,https://www.healingleaves.com.au/compare/healing-leaves-vs-easykind,4,8.3,navigational,"ai_overview,organic,people_also_ask,related_searches"
health alternatives,24,90,0.19,https://www.healingleaves.com.au/regions/south-west-sydney,39,0,informational,"ai_overview,organic,people_also_ask,images,discussions_and_forums,related_searches"
holistic doctors sunshine coast,44,90,0.19,https://www.healingleaves.com.au/regions/sunshine-coast,0,2.78,commercial,"organic,people_also_ask,related_searches,knowledge_graph,google_reviews"
how to get medical marijuanas nsw online,53,90,0.19,https://www.healingleaves.com.au/regions/new-south-wales-telehealth-clinic,32,36.84,transactional,"ai_overview,organic,related_searches"
medical cannabis providers,54,90,0.19,https://www.healingleaves.com.au/regions/northern-territory,24,0,commercial,"organic,local_pack,related_searches"
medical cannabis telehealth,40,90,0.19,https://www.healingleaves.com.au/western-australia-telehealth-clinic,32,0,informational,"organic,discussions_and_forums,related_searches"
medical marijuanas doctor near me,69,90,0.19,https://www.healingleaves.com.au/regions/act,24,29.16,navigational,"local_pack,organic,related_searches"
medical marijuanas qld doctors,61,90,0.19,https://www.healingleaves.com.au/regions/queensland,1,29.42,commercial,"local_pack,organic,related_searches"
medicinal cannabis clinic australia,67,90,0.19,https://www.healingleaves.com.au/regions/act,28,0,informational,"local_pack,organic,related_searches"
medicinal marijuanas doctors near me,67,90,0.19,https://www.healingleaves.com.au/regions/northern-territory,24,29.16,informational,"local_pack,organic,related_searches"
real leaf,34,90,0.19,https://www.healingleaves.com.au/,0,0.53,informational,"ai_overview,organic,images,people_also_ask,related_searches"
releaf brisbane,38,90,0.19,https://www.healingleaves.com.au/,27,12.04,navigational,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph"
telegreen medical,47,90,0.19,https://www.healingleaves.com.au/regions/new-south-wales-telehealth-clinic,10,23.27,navigational,"organic,knowledge_graph,google_reviews"
medicinal cannabis canberra,20,70,0.17,https://www.healingleaves.com.au/regions/act,0,0,informational,"organic,people_also_ask,related_searches"
alternaleaf tasmania,21,70,0.15,https://www.healingleaves.com.au/regions/regional-tasmania,3,16.73,navigational,"organic,people_also_ask,paid,related_searches"
dr canna contact,34,70,0.15,https://www.healingleaves.com.au/regions/act,0,17.2,navigational,"answer_box,organic,people_also_ask,related_searches,google_reviews,knowledge_graph"
healer website,47,70,0.15,https://www.healingleaves.com.au/,28,0.27,navigational,"organic,related_searches,images"
medicinal cannabinoids canberra,58,70,0.15,https://www.healingleaves.com.au/regions/act,3,0,informational,"ai_overview,organic,discussions_and_forums,related_searches"
medicinal cannabinoids south australia,41,70,0.15,https://www.healingleaves.com.au/south-australia-telehealth-clinic,15,0,informational,"ai_overview,organic,local_pack,related_searches,google_reviews"
medicinal cannabis sunshine coast,68,70,0.15,https://www.healingleaves.com.au/,0,0,informational,"organic,discussions_and_forums,people_also_ask,related_searches,google_reviews,knowledge_graph"
medreleaf book appointment,26,70,0.15,https://www.healingleaves.com.au/,0,5.06,transactional,"organic,related_searches"
medreleaf telehealth clinics,34,70,0.15,https://www.healingleaves.com.au/,0,5.89,informational,"organic,people_also_ask,related_searches,knowledge_graph,google_reviews"
online clinics,55,70,0.15,https://www.healingleaves.com.au/regions/gold-coast,59,7.8,commercial,"organic,related_searches"
releaf bentleigh clinics and dispensaries,41,70,0.15,https://www.healingleaves.com.au/,0,3.46,navigational,"organic,related_searches,knowledge_graph,google_reviews"
releaf clinic st kilda,47,70,0.15,https://www.healingleaves.com.au/,0,15.65,navigational,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph"
releaf clinic sunshine coast,46,70,0.15,https://www.healingleaves.com.au/,0,4.6,informational,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph"
scripts honalee,31,70,0.15,https://www.healingleaves.com.au/find-a-pharmacy-or-dispensary-for-your-script,0,0,informational,"organic,related_searches"
weed doctor online,51,70,0.15,https://www.healingleaves.com.au/regions/act,27,59.85,commercial,"ai_overview,organic,related_searches"
natural rhythm,20,50,0.12,https://www.healingleaves.com.au/education/the-path-to-wellness-listening-to-your-bodys-natural-rhythm,16,0,informational,"organic,people_also_ask,video,related_searches,knowledge_graph,images"
polln dashboard,21,50,0.12,https://www.healingleaves.com.au/compare/healing-leaves-vs-polln,0,0,navigational,"organic,related_searches"
cda clinic,56,50,0.1,https://www.healingleaves.com.au/regions/act,0,15.84,navigational,"organic,people_also_ask,related_searches,knowledge_graph,google_reviews"
functional medicine telehealth,41,50,0.1,https://www.healingleaves.com.au/regions/gold-coast,31,0,informational,"ai_overview,organic,related_searches"
in focus healing and wellness clinic,26,50,0.1,https://www.healingleaves.com.au/education/the-path-to-wellness-listening-to-your-bodys-natural-rhythm,0,0,navigational,"organic,third_party_reviews,google_reviews,knowledge_graph,images"
medicine leaf,26,50,0.1,https://www.healingleaves.com.au/,6,3.5,informational,"images,organic,people_also_ask,video,related_searches"
myleaf brisbane,29,50,0.1,https://www.healingleaves.com.au/,0,4.27,navigational,"organic,people_also_ask,related_searches,knowledge_graph,google_reviews,third_party_reviews"
teledocs clinic,30,50,0.1,https://www.healingleaves.com.au/regions/gold-coast,13,1.89,navigational,"organic,related_searches,google_reviews,knowledge_graph"
telehealth medical cannabis,39,50,0.1,https://www.healingleaves.com.au/western-australia-telehealth-clinic,27,0,commercial,"organic,ai_overview,related_searches"
telemed clinic,28,50,0.1,https://www.healingleaves.com.au/regions/gold-coast,0,0,navigational,"organic,related_searches"
true green health dispensary strathpine,44,50,0.1,https://www.healingleaves.com.au/,0,9.08,navigational,"organic,related_searches,google_reviews,knowledge_graph"
verde clinic perth,45,50,0.1,https://www.healingleaves.com.au/western-australia-telehealth-clinic,3,0.82,informational,"organic,related_searches,third_party_reviews,google_reviews,knowledge_graph"
telehealth cannabis,41,40,0.08,https://www.healingleaves.com.au/western-australia-telehealth-clinic,29,0,informational,"organic,people_also_ask,related_searches"
medical cannabis free consultation,56,30,0.06,https://www.healingleaves.com.au/regions/act,35,0,informational,"organic,ai_overview,related_searches"
releaf noosa,37,30,0.06,https://www.healingleaves.com.au/,0,4.96,informational,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph"
releaf clinic,49,0,0.0,https://www.healingleaves.com.au/,0,0,navigational,"local_pack,organic,people_also_ask,related_searches"
