Keyword,Position,Search Volume,Traffic,URL,Keyword Difficulty,CPC,Keyword Intents,SERP Features by Keyword
online prescriptions australia,83,2900,6.09,https://www.dispensed.com.au/,15,8.72,commercial,"organic,people_also_ask,related_searches"
medical marijuanas nsw,47,2900,5.72,https://www.dispensed.com.au/,32,43.87,informational,"ai_overview,paid,organic,discussions_and_forums,related_searches"
alternaleaf reviews,16,1300,5.59,https://www.dispensed.com.au/,0,25.57,informational,"ai_overview,organic,people_also_ask,related_searches,third_party_reviews,google_reviews,knowledge_graph,images"
veterancann,12,720,5.4,https://dev-veterancann.dispensed.com.au/,0,12.56,informational,"organic,people_also_ask,related_searches,images"
alternaleaf patient portal,25,2400,4.74,https://www.dispensed.com.au/,3,4.66,navigational,"paid,organic,related_searches"
gp salary australia,83,1900,3.99,https://www.dispensed.com.au/,0,6.07,informational,"ai_overview,organic,people_also_ask,related_searches,images"
medwest medical dispensary,60,1900,3.99,https://www.dispensed.com.au/,0,0,navigational,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph"
kush clinics,36,1600,3.36,https://www.dispensed.com.au/,0,48.01,commercial,"organic,related_searches,knowledge_graph,google_reviews,images"
lincoln dispensary,37,1600,3.36,https://www.dispensed.com.au/,0,1.3,navigational,"organic,related_searches,google_reviews,knowledge_graph"
well being and health,56,1600,3.36,https://www.dispensed.com.au/blog/what-is-wellbeing,39,2.85,informational,"ai_overview,organic,people_also_ask,scholarly_articles,related_searches,images"
well being health,65,1600,3.36,https://www.dispensed.com.au/blog/what-is-wellbeing,41,2.85,informational,"local_pack,people_also_ask,organic,scholarly_articles,related_searches,images"
what is well being,46,1600,3.36,https://www.dispensed.com.au/blog/what-is-wellbeing,39,19.91,informational,"ai_overview,organic,people_also_ask,related_searches,images"
what is well-being,47,1600,3.36,https://www.dispensed.com.au/blog/what-is-wellbeing,26,19.91,informational,"ai_overview,organic,people_also_ask,related_searches"
what is wellbeing,51,1600,3.36,https://www.dispensed.com.au/blog/what-is-wellbeing,24,19.91,informational,"ai_overview,people_also_ask,organic,related_searches,images"
dispensed vs alternaleaf,6,90,3.04,https://www.dispensed.com.au/,0,85.75,informational,"ai_overview,organic,people_also_ask,related_searches"
budding wellness,45,1300,2.73,https://www.dispensed.com.au/,0,15.42,informational,"organic,local_pack,related_searches,images"
consulting doctor online,33,1300,2.73,https://www.dispensed.com.au/,40,14.42,commercial,"ai_overview,organic,related_searches"
natural therapists,44,1300,2.73,https://www.dispensed.com.au/,25,2.79,commercial,"ai_overview,organic,people_also_ask,discussions_and_forums,related_searches,google_reviews,knowledge_graph"
pot dispensary,38,1300,2.73,https://www.dispensed.com.au/,5,0,commercial,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph,images"
medical marijuanas qld free consultation,5,50,2.35,https://www.dispensed.com.au/,32,29.11,commercial,"ai_overview,organic,local_pack,related_searches"
medical marijuanas perth,21,1000,2.3,https://www.dispensed.com.au/,20,41.12,commercial,"local_pack,organic,discussions_and_forums,related_searches,images"
essence dispensary,57,1000,2.1,https://www.dispensed.com.au/,3,5.3,navigational,"organic,related_searches,knowledge_graph,google_reviews,images"
astrid dispensary,53,1000,1.97,https://www.dispensed.com.au/,11,14.83,navigational,"organic,local_pack,people_also_ask,paid,related_searches"
medicinal,95,880,1.85,https://www.dispensed.com.au/,36,30.16,informational,"ai_overview,organic,people_also_ask,video,related_searches,knowledge_graph,images"
prescription for weed,71,880,1.85,https://www.dispensed.com.au/,25,49.45,informational,"ai_overview,organic,discussions_and_forums,people_also_ask,related_searches,images"
australian access clinics,33,720,1.51,https://www.dispensed.com.au/,0,36.39,informational,"organic,local_pack,people_also_ask,related_searches"
budding wellness noosa,27,720,1.51,https://www.dispensed.com.au/,0,19.53,navigational,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph,images"
cannabis doctors tasmania,46,720,1.51,https://www.dispensed.com.au/,1,0,commercial,"organic,people_also_ask,discussions_and_forums,related_searches,google_reviews,knowledge_graph"
define wellbeing in health,62,720,1.51,https://www.dispensed.com.au/blog/what-is-wellbeing,34,0,informational,"ai_overview,organic,people_also_ask,scholarly_articles,related_searches"
defining health and wellbeing,48,720,1.51,https://www.dispensed.com.au/blog/what-is-wellbeing,23,0,informational,"ai_overview,organic,people_also_ask,scholarly_articles,related_searches"
health and well being definition,81,720,1.51,https://www.dispensed.com.au/blog/what-is-wellbeing,16,0,informational,"ai_overview,organic,people_also_ask,scholarly_articles,related_searches,images"
health and wellbeing definition,53,720,1.51,https://www.dispensed.com.au/blog/what-is-wellbeing,19,0,informational,"ai_overview,organic,people_also_ask,related_searches,images"
health well being definition,48,720,1.51,https://www.dispensed.com.au/blog/what-is-wellbeing,33,0,informational,"ai_overview,organic,people_also_ask,scholarly_articles,related_searches,images"
health wellbeing definition,58,720,1.51,https://www.dispensed.com.au/blog/what-is-wellbeing,19,0,informational,"ai_overview,organic,people_also_ask,short_videos,related_searches"
medical marijuanas brisbane,59,720,1.51,https://www.dispensed.com.au/,27,46.21,commercial,"local_pack,organic,discussions_and_forums,people_also_ask,related_searches"
medicinal cannabis prescription,52,720,1.51,https://www.dispensed.com.au/,30,0,informational,"organic,discussions_and_forums,ai_overview,local_pack,people_also_ask,related_searches"
medicinal marijuanas online,25,720,1.51,https://www.dispensed.com.au/,30,38.16,commercial,"organic,related_searches"
can i help dispensary,26,590,1.24,https://www.dispensed.com.au/,5,18.38,informational,"organic,people_also_ask,knowledge_graph,google_reviews"
how to get medical marijuanas card qld free,26,590,1.24,https://www.dispensed.com.au/,25,45.13,informational,"ai_overview,organic,related_searches"
purples dispensary,26,590,1.24,https://www.dispensed.com.au/,0,6.68,navigational,"organic,related_searches,google_reviews,knowledge_graph"
doctor canna,56,480,1.01,https://www.dispensed.com.au/,10,31.48,informational,"organic,people_also_ask,related_searches,knowledge_graph,google_reviews,images"
doctors in dandenong,46,480,1.01,https://www.dispensed.com.au/,11,2.25,commercial,"local_pack,organic,related_searches"
scripted clinic,32,480,1.01,https://www.dispensed.com.au/,3,2.55,informational,"organic,related_searches,knowledge_graph,google_reviews"
what is human well being,94,480,1.01,https://www.dispensed.com.au/blog/what-is-wellbeing,14,0,informational,"ai_overview,people_also_ask,organic,short_videos,related_searches,images"
what is human wellbeing,92,480,1.01,https://www.dispensed.com.au/blog/what-is-wellbeing,6,0,informational,"ai_overview,people_also_ask,organic,related_searches,images"
weed doctor near me,14,170,0.95,https://www.dispensed.com.au/,28,41.49,navigational,"ai_overview,organic,people_also_ask,related_searches"
best online medical cannabis australia,23,390,0.82,https://www.dispensed.com.au/,40,0,commercial,"ai_overview,organic,discussions_and_forums,people_also_ask,related_searches"
cannabis pharmacy near me,59,390,0.82,https://www.dispensed.com.au/,3,46.52,commercial,"local_pack,organic,people_also_ask,related_searches"
cannabis prescription online,25,390,0.82,https://www.dispensed.com.au/,25,0,commercial,"organic,people_also_ask,related_searches"
define human wellbeing,90,390,0.82,https://www.dispensed.com.au/blog/what-is-wellbeing,24,0,informational,"ai_overview,people_also_ask,organic,related_searches,images"
definition of human wellbeing,94,390,0.82,https://www.dispensed.com.au/blog/what-is-wellbeing,10,0,informational,"ai_overview,organic,people_also_ask,related_searches,images"
dispensaries melbourne,40,390,0.82,https://www.dispensed.com.au/location/melbourne,31,24.72,commercial,"local_pack,organic,discussions_and_forums,related_searches"
dispensary melbourne,36,390,0.82,https://www.dispensed.com.au/location/melbourne,12,24.72,navigational,"local_pack,organic,discussions_and_forums,related_searches"
dispensing,87,390,0.82,https://www.dispensed.com.au/,0,6.14,informational,"ai_overview,images,people_also_ask,organic,video,related_searches"
free online prescription,50,390,0.82,https://www.dispensed.com.au/,18,6.97,informational,"organic,people_also_ask,related_searches"
free prescription online,44,390,0.82,https://www.dispensed.com.au/,8,6.97,informational,"organic,people_also_ask,related_searches"
how to get a prescription for weed,54,390,0.82,https://www.dispensed.com.au/,28,43.64,informational,"ai_overview,organic,people_also_ask,discussions_and_forums,related_searches"
medicinal cannabis melbourne,49,390,0.82,https://www.dispensed.com.au/,0,21.28,informational,"local_pack,organic,discussions_and_forums,people_also_ask,related_searches"
online cannabis prescription,26,390,0.82,https://www.dispensed.com.au/,32,0,commercial,"organic,discussions_and_forums,people_also_ask,related_searches"
prescriptions online free,62,390,0.82,https://www.dispensed.com.au/,6,6.97,informational,"ai_overview,organic,people_also_ask,related_searches"
vivace health,36,390,0.82,https://www.dispensed.com.au/,12,10.69,navigational,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph"
weed prescription online,28,390,0.82,https://www.dispensed.com.au/,27,0,transactional,"organic,people_also_ask,related_searches"
what does well being mean,30,390,0.82,https://www.dispensed.com.au/blog/what-is-wellbeing,41,0,informational,"ai_overview,people_also_ask,organic,short_videos,related_searches"
what does wellbeing mean,33,390,0.82,https://www.dispensed.com.au/blog/what-is-wellbeing,34,0,informational,"ai_overview,people_also_ask,organic,related_searches"
what does wellbeing means,39,390,0.82,https://www.dispensed.com.au/blog/what-is-wellbeing,40,0,informational,"ai_overview,people_also_ask,organic,short_videos,related_searches"
dispense direct pharmacy,10,70,0.79,https://www.dispensed.com.au/,7,3.47,transactional,"organic,people_also_ask,google_reviews,knowledge_graph"
friend pharmacy,100,320,0.67,https://www.dispensed.com.au/,3,0,navigational,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph"
medical cannabinoids dispensary,75,320,0.67,https://www.dispensed.com.au/,24,0,commercial,"local_pack,organic,related_searches"
medicinal cannabis perth,41,320,0.67,https://www.dispensed.com.au/,4,17.67,commercial,"ai_overview,organic,discussions_and_forums,related_searches,google_reviews,knowledge_graph"
online cannabis prescription australia,26,320,0.67,https://www.dispensed.com.au/,34,0,commercial,"organic,ai_overview,people_also_ask,discussions_and_forums,related_searches"
weed prescriptions,71,320,0.67,https://www.dispensed.com.au/,34,45.75,informational,"ai_overview,organic,discussions_and_forums,people_also_ask,video,related_searches,images"
dispensary brisbane,43,260,0.55,https://www.dispensed.com.au/,0,15.72,navigational,"local_pack,organic,related_searches"
dispensary perth,44,260,0.55,https://www.dispensed.com.au/,2,48.99,navigational,"local_pack,organic,discussions_and_forums,related_searches"
doctor to your door townsville,75,260,0.55,https://www.dispensed.com.au/,0,2.32,navigational,"ai_overview,organic,people_also_ask,related_searches,google_reviews,knowledge_graph,images"
medical cannabis australia online,28,260,0.55,https://www.dispensed.com.au/,32,0,commercial,"organic,ai_overview,people_also_ask,related_searches"
medical marijuanas perth cost,39,260,0.55,https://www.dispensed.com.au/,0,23.89,informational,"ai_overview,organic,discussions_and_forums,related_searches"
weed in nsw,48,260,0.55,https://www.dispensed.com.au/,5,0,informational,"ai_overview,organic,people_also_ask,video,related_searches,images"
cannabis scripts,21,210,0.48,https://www.dispensed.com.au/,23,33.54,informational,"organic,discussions_and_forums,video,people_also_ask,related_searches"
budding wellness richmond,23,210,0.44,https://www.dispensed.com.au/,0,25.25,navigational,"organic,related_searches,google_reviews,knowledge_graph"
free vape prescription australia online,52,210,0.44,https://www.dispensed.com.au/,8,0,transactional,"ai_overview,organic,people_also_ask,related_searches,images"
newtown dispensary,52,210,0.44,https://www.dispensed.com.au/,2,9.26,navigational,"local_pack,organic,related_searches"
what is dispensary,62,210,0.44,https://www.dispensed.com.au/,17,0,informational,"ai_overview,people_also_ask,organic,related_searches,images"
what is health and wellbeing,50,210,0.44,https://www.dispensed.com.au/blog/what-is-wellbeing,40,0,informational,"ai_overview,organic,people_also_ask,scholarly_articles,related_searches,images"
medical marijuanas companies australia,33,210,0.41,https://www.dispensed.com.au/,33,41.66,informational,"ai_overview,paid,organic,local_pack,discussions_and_forums,related_searches"
how to get medical marijuanas nsw online,17,90,0.39,https://www.dispensed.com.au/,32,36.84,transactional,"ai_overview,organic,related_searches"
online dispensary australia,12,50,0.38,https://www.dispensed.com.au/,35,16.08,commercial,"ai_overview,organic,related_searches"
veteran login,12,50,0.38,https://qa-veterancann.dispensed.com.au/accounts/login/,13,3.5,navigational,"organic,people_also_ask,related_searches"
antidote health,48,170,0.36,https://www.dispensed.com.au/,16,9.19,informational,"organic,people_also_ask,related_searches,knowledge_graph,google_reviews"
dispensary newtown,50,170,0.36,https://www.dispensed.com.au/,2,8.42,navigational,"local_pack,organic,related_searches"
free consultation,30,170,0.36,https://www.dispensed.com.au/,28,25.01,informational,"ai_overview,organic,people_also_ask,people_also_search,related_searches,knowledge_graph,google_reviews"
gold coast pharmaceutical support,39,170,0.36,https://www.dispensed.com.au/location/gold-coast,0,0,informational,"local_pack,organic,related_searches"
medical marijuanas brisbane cost,26,170,0.36,https://www.dispensed.com.au/,3,20.04,informational,"ai_overview,organic,related_searches"
medical marijuanas pharmacy,50,170,0.36,https://www.dispensed.com.au/,27,21.8,commercial,"local_pack,organic,related_searches"
medicinal cannabis aus,57,170,0.36,https://www.dispensed.com.au/,36,0,informational,"ai_overview,organic,people_also_ask,related_searches"
medicinal weed doctors near me,49,170,0.36,https://www.dispensed.com.au/,24,36.25,commercial,"ai_overview,organic,related_searches"
well being def,52,170,0.36,https://www.dispensed.com.au/blog/what-is-wellbeing,44,0,informational,"ai_overview,people_also_ask,organic,short_videos,related_searches"
well being or wellbeing australia,61,170,0.36,https://www.dispensed.com.au/blog/what-is-wellbeing,19,0,informational,"ai_overview,organic,people_also_ask,scholarly_articles,related_searches"
well beings definition,50,170,0.36,https://www.dispensed.com.au/blog/what-is-wellbeing,41,0,informational,"ai_overview,organic,people_also_ask,related_searches"
well-being or wellbeing australia,61,170,0.36,https://www.dispensed.com.au/blog/what-is-wellbeing,19,0,informational,"ai_overview,organic,people_also_ask,images,related_searches"
wellbeing def,34,170,0.36,https://www.dispensed.com.au/blog/what-is-wellbeing,41,0,informational,"ai_overview,people_also_ask,organic,short_videos,related_searches"
weed doctor online,16,70,0.3,https://www.dispensed.com.au/,27,59.85,commercial,"ai_overview,organic,related_searches"
midispensary reviews,13,50,0.29,https://www.dispensed.com.au/reviews,0,16.51,informational,"organic,related_searches,google_reviews,knowledge_graph"
australian access clinic,29,140,0.29,https://www.dispensed.com.au/,6,24.83,navigational,"organic,local_pack,people_also_ask,related_searches"
can i help clinic,55,140,0.29,https://www.dispensed.com.au/,28,18.65,informational,"ai_overview,organic,people_also_ask"
medical marijuanas clinic near me,34,140,0.29,https://www.dispensed.com.au/,24,38.77,navigational,"local_pack,organic,people_also_ask,related_searches"
medicare dandenong,50,140,0.29,https://www.dispensed.com.au/,0,11.45,informational,"ai_overview,organic,people_also_ask,related_searches,google_reviews,knowledge_graph,images"
medicinal cannabis adelaide,74,140,0.29,https://www.dispensed.com.au/,24,0,commercial,"local_pack,organic,people_also_ask,related_searches"
medicinal dispensary,48,140,0.29,https://www.dispensed.com.au/,31,25.58,commercial,"local_pack,organic,related_searches"
medicinal marijuanas doctors,50,140,0.29,https://www.dispensed.com.au/,24,22.32,informational,"local_pack,organic,related_searches"
online medical consulting,50,140,0.29,https://www.dispensed.com.au/,58,13.11,commercial,"organic,related_searches"
prescription thc,38,140,0.29,https://www.dispensed.com.au/,29,0,informational,"ai_overview,organic,people_also_ask,discussions_and_forums,video,related_searches,images"
scripts online perth,70,140,0.29,https://www.dispensed.com.au/location/perth,18,7.81,commercial,"organic,people_also_ask,related_searches"
vape prescription australia,91,140,0.29,https://www.dispensed.com.au/,9,6.51,transactional,"ai_overview,organic,people_also_ask,discussions_and_forums,related_searches"
what is the meaning of wellbeing,41,140,0.29,https://www.dispensed.com.au/blog/what-is-wellbeing,41,0,informational,"ai_overview,people_also_ask,organic,short_videos,related_searches"
telehealth medical cannabis,14,50,0.28,https://www.dispensed.com.au/,27,0,commercial,"organic,ai_overview,related_searches"
medical cannabis prescription online,21,110,0.25,https://www.dispensed.com.au/,30,0,transactional,"organic,people_also_ask"
umeds australia,19,90,0.24,https://www.dispensed.com.au/,4,8.53,informational,"organic,people_also_ask,related_searches,knowledge_graph,google_reviews,images"
antidote clinic,44,110,0.23,https://www.dispensed.com.au/,0,19.35,informational,"organic,local_pack,related_searches"
cannaaid medical,43,110,0.23,https://www.dispensed.com.au/,2,22.98,transactional,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph"
cbd prescription,57,110,0.23,https://www.dispensed.com.au/,19,31.46,informational,"ai_overview,organic,discussions_and_forums,people_also_ask,related_searches"
dispensary gold coast,39,110,0.23,https://www.dispensed.com.au/location/gold-coast,0,20.19,commercial,"local_pack,organic,related_searches"
free dr,36,110,0.23,https://www.dispensed.com.au/,10,7.99,informational,"ai_overview,organic,people_also_ask,related_searches,images"
gold coast dispensary,39,110,0.23,https://www.dispensed.com.au/,0,20.19,navigational,"local_pack,organic,related_searches,images"
medical cannabis consult,24,110,0.23,https://www.dispensed.com.au/,32,0,informational,"organic,related_searches,google_reviews,knowledge_graph"
medical cannabis consultation,25,110,0.23,https://www.dispensed.com.au/,31,0,informational,"organic,discussions_and_forums,related_searches,google_reviews,knowledge_graph"
medical cannabis prescriber,25,110,0.23,https://www.dispensed.com.au/,32,0,informational,"ai_overview,organic,discussions_and_forums,people_also_ask,related_searches"
medical cannabis scripts,43,110,0.23,https://www.dispensed.com.au/,24,0,informational,"ai_overview,organic,discussions_and_forums,related_searches"
sirius green clinic,53,110,0.23,https://www.dispensed.com.au/,0,21.6,navigational,"organic,people_also_ask,related_searches"
types of well-being,37,110,0.23,https://www.dispensed.com.au/blog/what-is-wellbeing,19,0,informational,"ai_overview,organic,people_also_ask,related_searches"
types of wellbeing,34,110,0.23,https://www.dispensed.com.au/blog/what-is-wellbeing,27,0,informational,"ai_overview,organic,people_also_ask,related_searches,images"
where to get medical weed,40,110,0.23,https://www.dispensed.com.au/,34,42.75,informational,"ai_overview,organic,people_also_ask,related_searches"
why is wellbeing important,56,110,0.23,https://www.dispensed.com.au/blog/what-is-wellbeing,25,1.18,informational,"ai_overview,organic,people_also_ask,related_searches,images"
medicinal cannabis telehealth,26,90,0.21,https://www.dispensed.com.au/,31,0,informational,"organic,discussions_and_forums,related_searches"
55 botany street randwick,66,90,0.19,https://www.dispensed.com.au/location/sydney,0,0.66,navigational,"map,google_reviews,organic,related_searches"
alternative medicine australia,31,90,0.19,https://www.dispensed.com.au/,28,11.4,informational,"ai_overview,organic,people_also_ask,video,related_searches"
astrid health,27,90,0.19,https://www.dispensed.com.au/,4,11.49,navigational,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph,images"
aus access clinics,28,90,0.19,https://www.dispensed.com.au/,0,26.4,navigational,"organic,people_also_ask,related_searches,knowledge_graph,google_reviews"
brisbane dispensary,78,90,0.19,https://www.dispensed.com.au/location/brisbane,11,17.39,navigational,"local_pack,organic,discussions_and_forums,people_also_ask,related_searches"
cannabis prescription melbourne,29,90,0.19,https://www.dispensed.com.au/,8,0,informational,"organic,local_pack,discussions_and_forums,people_also_ask,related_searches"
cheapest medical marijuanas dispensary australia,34,90,0.19,https://www.dispensed.com.au/,7,16,commercial,"ai_overview,organic,discussions_and_forums,people_also_ask,related_searches"
dispensary canberra,36,90,0.19,https://www.dispensed.com.au/,9,16.98,navigational,"local_pack,organic,people_also_ask,related_searches,images"
free prescription,33,90,0.19,https://www.dispensed.com.au/,25,7.58,informational,"ai_overview,organic,people_also_ask,related_searches"
medical cannabis providers,34,90,0.19,https://www.dispensed.com.au/,24,0,commercial,"organic,local_pack,related_searches"
medical cannabis telehealth,27,90,0.19,https://www.dispensed.com.au/,32,0,informational,"organic,discussions_and_forums,related_searches"
medical marijuanas doctor near me,64,90,0.19,https://www.dispensed.com.au/,24,29.16,navigational,"local_pack,organic,related_searches"
medicinal cannabis clinic australia,25,90,0.19,https://www.dispensed.com.au/,28,0,informational,"local_pack,organic,related_searches"
medwest medical,59,90,0.19,https://www.dispensed.com.au/,0,0,navigational,"local_pack,organic,related_searches"
online prescriptions perth,57,90,0.19,https://www.dispensed.com.au/location/perth,24,12.35,commercial,"organic,people_also_ask,related_searches"
personal well being,73,90,0.19,https://www.dispensed.com.au/blog/what-is-wellbeing,18,0.6,informational,"ai_overview,images,people_also_ask,organic,scholarly_articles,related_searches"
personal well-being,63,90,0.19,https://www.dispensed.com.au/blog/what-is-wellbeing,17,0.6,informational,"ai_overview,organic,people_also_ask,scholarly_articles,related_searches"
personal wellbeing,69,90,0.19,https://www.dispensed.com.au/blog/what-is-wellbeing,18,0.6,informational,"ai_overview,images,people_also_ask,organic,related_searches"
weed prescription qld,69,90,0.19,https://www.dispensed.com.au/,28,46.16,informational,"ai_overview,organic,people_also_ask,discussions_and_forums,related_searches"
cannabis doctor melbourne,30,70,0.15,https://www.dispensed.com.au/,0,0,commercial,"local_pack,organic,discussions_and_forums,people_also_ask,related_searches"
cannabis prescription australia,36,70,0.15,https://www.dispensed.com.au/,35,0,informational,"ai_overview,organic,people_also_ask,discussions_and_forums,video,related_searches"
cannabis prescription perth,31,70,0.15,https://www.dispensed.com.au/,3,0,commercial,"organic,ai_overview,discussions_and_forums,related_searches"
dispensa,39,70,0.15,https://app.dispensed.com.au/,0,0,informational,"ai_overview,organic,people_also_ask,related_searches,images"
dispensary cairns,62,70,0.15,https://www.dispensed.com.au/,0,7.26,navigational,"organic,related_searches,knowledge_graph,google_reviews,images"
dispensary st kilda,58,70,0.15,https://www.dispensed.com.au/,0,3.47,navigational,"local_pack,organic,related_searches"
human wellbeing meaning,86,70,0.15,https://www.dispensed.com.au/blog/what-is-wellbeing,15,0,informational,"ai_overview,organic,people_also_ask,related_searches,images"
kush clinics price list,33,70,0.15,https://www.dispensed.com.au/info/pricing,0,0,commercial,"ai_overview,organic,people_also_ask,related_searches"
lincoln dispensary west perth,48,70,0.15,https://www.dispensed.com.au/,0,0,navigational,"organic,related_searches,google_reviews,knowledge_graph"
medical cannabis pharmacy near me,73,70,0.15,https://www.dispensed.com.au/,13,0,navigational,"organic,local_pack,people_also_ask,google_reviews"
