Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
polln dashboard,1,1,50,9,0,https://patient.polln.com/,40,0.84,0,0.02,859,"100, 64, 78, 35, 28, 35, 35, 28, 14, 14, 14, 14",2026-03-09 18:33:46,"Sitelinks, Related searches","navigational, transactional",Organic
can you smoke medical marijuanas in australia in public,1,1,590,59,4.56,https://www.polln.com/library/travelling-as-a-medicinal-cannabis-patient-in-australia-what-you-need-to-know,35,0.73,159,0.09,0,"81, 54, 54, 44, 36, 67, 81, 81, 67, 81, 67, 54",2026-03-18 12:04:08,"Sitelinks, Video, Related searches, Discussions and forums, AI overview",informational,AI overview
difference between sativa and indica,1,1,590,68,0,https://www.polln.com/library/sativa-vs-indica-vs-hybrid-cannabis-what-to-expect,35,0.73,0,0,21600000,"76, 55, 55, 36, 45, 24, 55, 45, 76, 24, 76, 30",2026-04-03 11:41:12,"Image pack, Sitelinks, Video, Related searches, Discussions and forums, AI overview",informational,AI overview
pollin,2,2,260,24,2.33,https://www.polln.com/contact,34,0.71,79,0.15,2500000,"43, 43, 53, 53, 66, 66, 66, 66, 66, 100, 66, 43",2026-03-28 10:58:45,Related searches,"navigational, transactional",Organic
medical marijuanas qld cost,1,1,210,6,0,https://www.polln.com/library/how-much-does-medicinal-cannabis-cost-in-australia,27,0.56,0,0,0,"81, 28, 35, 44, 44, 23, 35, 35, 23, 18, 23, 28",2026-03-10 18:48:27,"Sitelinks, Related searches, AI overview",informational,Organic
best online medical cannabis australia,1,1,210,47,0,https://www.polln.com/,27,0.56,0,0,14200000,"7, 7, 10, 28, 53, 35, 53, 66, 66, 82, 100, 100",2026-03-25 01:51:34,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",commercial,Organic
medical marijuanas nsw online,4,28,590,39,0,https://www.polln.com/,25,0.52,0,0,483000,"76, 36, 45, 55, 67, 67, 67, 55, 36, 36, 30, 24",2026-04-24 21:44:16,"Video, People also ask, Related searches, Ads middle, AI overview",informational,Organic
medical cannabis australia online,3,3,390,48,0,https://www.polln.com/,25,0.52,0,0,23600000,"81, 54, 66, 54, 54, 44, 66, 81, 66, 81, 100, 66",2026-03-20 22:55:48,"Related searches, Discussions and forums, AI overview",informational,Organic
medical marijuanas perth,6,6,880,54,66.98,https://www.polln.com/locations/perth,21,0.44,1406,0.71,136,"81, 81, 55, 62, 81, 81, 45, 30, 55, 24, 62, 24",2026-03-23 10:59:04,"Knowledge panel, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
online cannabis prescription australia,4,4,480,51,0,https://www.polln.com/,21,0.44,0,0,4760000,"81, 81, 81, 81, 81, 66, 100, 81, 100, 81, 66, 54",2026-03-24 00:00:47,"Video, Related searches, AI overview",informational,Organic
pollin,3,3,260,24,2.33,https://patient.polln.com/,21,0.44,48,0.15,2500000,"43, 43, 53, 53, 66, 66, 66, 66, 66, 100, 66, 43",2026-03-28 10:58:45,Related searches,"navigational, transactional",Organic
medical marijuanas victoria cost,4,6,480,15,0,https://www.polln.com/library/how-much-does-medicinal-cannabis-cost-in-australia,21,0.44,0,0,142,"100, 44, 66, 66, 81, 100, 81, 66, 66, 66, 66, 54",2026-04-02 09:40:39,"Sitelinks, Video, Related searches, AI overview",informational,Organic
list of authorised prescribers sa,3,3,320,32,86.41,https://www.polln.com/locations/adelaide,20,0.42,1728,0.54,43,"100, 82, 100, 66, 82, 82, 100, 100, 82, 82, 66, 53",2026-03-23 22:04:19,"Related searches, AI overview",informational,Organic
how long does weed stay in urine,1,0,590,55,0,https://www.polln.com/library/how-long-does-cannabis-stay-in-your-system,20,0.42,0,0,12800000,"100, 66, 54, 66, 66, 81, 81, 66, 81, 100, 66, 66",2026-04-05 07:56:29,"Video, Short videos, Discussions and forums, AI overview",informational,AI overview
list of authorised prescribers wa,3,5,320,17,112.65,https://www.polln.com/locations/perth,20,0.42,2253,0.55,6130,"66, 44, 44, 66, 54, 54, 66, 44, 66, 66, 66, 44",2026-04-30 01:51:12,"People also ask, Related searches, AI overview",informational,Organic
polln login,2,2,720,12,3.68,https://www.polln.com/,18,0.37,66,0.02,51,"100, 81, 81, 54, 54, 81, 81, 67, 54, 81, 100, 67",2026-04-18 01:41:55,"Sitelinks, Video, Related searches","navigational, transactional",Organic
online medical marijuanas,4,6,390,50,74.47,https://www.polln.com/,17,0.35,1265,0.06,222,"66, 54, 44, 66, 100, 81, 54, 44, 54, 36, 36, 29",2026-04-05 04:00:34,"Video, Related searches, AI overview",informational,Organic
medical marijuanas australia cost,5,7,480,13,0,https://www.polln.com/library/how-much-does-medicinal-cannabis-cost-in-australia,16,0.33,0,0,201,"54, 24, 24, 20, 20, 20, 24, 24, 20, 16, 10, 8",2026-04-03 09:45:36,"Sitelinks, Video, Related searches, AI overview",informational,Organic
how long does thc stay in urine test,1,1,260,61,0,https://www.polln.com/library/how-long-does-cannabis-stay-in-your-system,15,0.31,0,0,1840000,"29, 35, 35, 43, 43, 35, 43, 66, 81, 100, 43, 43",2026-03-14 21:07:35,"Video, Related searches, AI overview",informational,AI overview
best cannabis clinic australia,1,1,110,49,0,https://www.polln.com/,14,0.29,0,0,3960000,"33, 19, 42, 33, 52, 100, 80, 80, 80, 66, 52, 52",2026-03-22 13:52:04,"Knowledge panel, Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",commercial,Organic
medical marijuanas perth cost,4,6,320,12,36.72,https://www.polln.com/library/how-much-does-medicinal-cannabis-cost-in-australia,14,0.29,514,0.73,134,"100, 35, 29, 54, 81, 54, 81, 66, 66, 66, 66, 54",2026-04-16 08:54:43,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
online medical marijuanas,1,0,390,50,74.47,https://www.polln.com/,13,0.27,968,0.06,222,"66, 54, 44, 66, 100, 81, 54, 44, 54, 36, 36, 29",2026-04-05 04:00:34,"Video, Related searches, AI overview",informational,AI overview
medical cannabis australia online,1,1,390,48,0,https://www.polln.com/,13,0.27,0,0,23600000,"81, 54, 66, 54, 54, 44, 66, 81, 66, 81, 100, 66",2026-03-20 22:55:48,"Related searches, Discussions and forums, AI overview",informational,AI overview
how much is cbd oil on prescription,1,1,390,22,0,https://www.polln.com/library/how-much-does-medicinal-cannabis-cost-in-australia,13,0.27,0,0,20100000,"44, 54, 81, 100, 100, 81, 54, 66, 54, 54, 44, 44",2026-04-16 09:02:23,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,AI overview
online cannabis prescription,1,1,210,47,0,https://www.polln.com/,12,0.25,0,0,0,"65, 81, 53, 65, 65, 53, 65, 34, 53, 43, 65, 100",2026-03-07 21:04:40,"Video, Related searches, AI overview",commercial,AI overview
polln login,3,4,720,12,3.68,https://www.polln.com/faqs/how-do-i-access-repeat-prescriptions-of-my-medication,12,0.25,44,0.02,51,"100, 81, 81, 54, 54, 81, 81, 67, 54, 81, 100, 67",2026-04-18 01:41:55,"Sitelinks, Video, Related searches","navigational, transactional",Organic
how long does the thc stay in your blood,1,1,320,53,0,https://www.polln.com/library/how-long-does-cannabis-stay-in-your-system,11,0.23,0,0,323000000,"100, 100, 100, 100, 81, 81, 81, 81, 81, 81, 81, 65",2026-03-18 22:50:29,"Video, Related searches, Discussions and forums, AI overview",informational,AI overview
list of authorised prescribers sa,1,1,320,32,86.41,https://www.polln.com/locations/adelaide,11,0.23,950,0.54,43,"100, 82, 100, 66, 82, 82, 100, 100, 82, 82, 66, 53",2026-03-23 22:04:19,"Related searches, AI overview",informational,AI overview
list of authorised prescribers victoria,6,6,390,27,78.74,https://www.polln.com/locations/melbourne,11,0.23,866,0.65,8890,"72, 59, 100, 39, 39, 39, 39, 26, 21, 32, 21, 14",2026-04-06 15:24:36,"Related searches, AI overview",informational,Organic
indica meaning,8,8,1300,50,0,https://www.polln.com/library/sativa-vs-indica-vs-hybrid-cannabis-what-to-expect,11,0.23,0,0,43300000,"3, 1, 1, 1, 1, 0, 100, 4, 2, 2, 1, 1",2026-03-27 18:30:02,"Knowledge panel, Image pack, Video, People also ask, Related searches",informational,Organic
how much is cbd oil on prescription,2,1,390,22,0,https://www.polln.com/library/how-much-does-medicinal-cannabis-cost-in-australia,11,0.23,0,0,20100000,"44, 54, 81, 100, 100, 81, 54, 66, 54, 54, 44, 44",2026-04-16 09:02:23,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
pollin,5,5,260,24,2.33,https://www.polln.com/our-doctors,11,0.23,25,0.15,2500000,"43, 43, 53, 53, 66, 66, 66, 66, 66, 100, 66, 43",2026-03-28 10:58:45,Related searches,"navigational, transactional",Organic
vaping weed,5,7,1300,54,0,https://www.polln.com/library/ultimate-guide-to-vaping-medicinal-cannabis,11,0.23,0,0,195,"0, 0, 0, 0, 0, 0, 0, 0, 81, 100, 81, 53",2026-04-04 23:25:49,"Sitelinks, Video, Video Carousel, People also ask, AI overview",informational,Organic
polln login,4,0,720,12,3.68,https://qa.polln.com/,10,0.21,36,0.02,51,"100, 81, 81, 54, 54, 81, 81, 67, 54, 81, 100, 67",2026-04-18 01:41:55,"Sitelinks, Video, Related searches","navigational, transactional",Organic
how long does thc stay in system,1,1,170,61,0,https://www.polln.com/library/how-long-does-cannabis-stay-in-your-system,10,0.21,0,0,34500000,"21, 26, 14, 14, 17, 11, 14, 14, 17, 17, 26, 26",2026-03-24 23:54:09,"Video, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,AI overview
medical cannabis online australia,3,3,110,47,0,https://www.polln.com/,9,0.18,0,0,0,"33, 23, 33, 42, 33, 33, 80, 80, 80, 80, 100, 66",2026-03-19 05:54:15,"Video, Related searches",informational,Organic
dr joel wren,2,2,70,9,3.05,https://www.polln.com/practitioners/dr-joel-wren,9,0.18,27,0.05,1250000,"41, 11, 100, 11, 64, 64, 11, 11, 64, 64, 11, 11",2026-03-30 09:53:25,"Image pack, Video, Related searches",informational,Organic
how long do scripts last,8,14,390,8,0,https://www.polln.com/faqs/do-my-prescriptions-expire,9,0.18,0,0.01,173000000,"100, 81, 81, 81, 100, 81, 81, 81, 66, 81, 81, 66",2026-04-04 16:53:23,"Sitelinks, Related searches, AI overview",informational,Organic
cannabinoids online,1,1,110,50,0,https://www.polln.com/,9,0.18,0,0.04,117,"41, 41, 64, 41, 82, 0, 64, 64, 64, 100, 82, 64",2026-03-06 03:10:48,"Video, People also ask, Related searches, AI overview",informational,Organic
medical cannabis online,5,9,320,49,0,https://www.polln.com/,9,0.18,0,0,113000000,"17, 11, 17, 17, 17, 17, 39, 39, 48, 48, 59, 26",2026-04-22 09:18:48,"Video, Related searches, Discussions and forums",commercial,Organic
medical cannabis consultation,5,5,210,53,0,https://www.polln.com/,9,0.18,0,0,152,"23, 17, 28, 28, 17, 12, 66, 66, 82, 100, 100, 43",2026-03-27 12:39:15,"Knowledge panel, Related searches",informational,Organic
how much is medical marijuanas,1,3,110,13,28.33,https://www.polln.com/library/how-much-does-medicinal-cannabis-cost-in-australia,9,0.18,254,0.19,167,"52, 82, 52, 82, 64, 64, 29, 52, 52, 82, 52, 52",2026-04-29 14:30:33,"Video, People also ask, Related searches, AI overview",informational,Organic
medical marijuana adelaide,3,3,140,33,0,https://www.polln.com/locations/adelaide,9,0.18,0,0,357000,"26, 19, 26, 11, 19, 19, 65, 65, 80, 80, 80, 100",2026-03-11 08:30:06,"Video, Related searches, AI overview",informational,Organic
how long does bhang stay in your system,6,6,1300,58,0,https://www.polln.com/library/how-long-does-cannabis-stay-in-your-system,9,0.18,0,0,657000,"100, 81, 81, 81, 81, 81, 81, 62, 81, 81, 81, 81",2026-03-27 18:03:04,"People also ask, Discussions and forums, AI overview",informational,Organic
medical marijuana doctor,1,0,140,25,0,https://www.polln.com/,8,0.16,0,0,65500000,"29, 29, 29, 29, 29, 29, 29, 22, 29, 29, 29, 29",2026-04-04 02:15:22,"Video, Image, Related searches, AI overview",informational,AI overview
buy weed online australia,1,0,140,52,0,https://www.polln.com/,8,0.16,0,0,140,"12, 10, 23, 23, 17, 23, 66, 43, 43, 43, 66, 66",2026-04-18 10:17:37,"Image, Related searches, AI overview",informational,AI overview
cannabis doctors tasmania,4,4,590,33,0,https://www.polln.com/locations/hobart,8,0.16,0,0,310000,"54, 54, 67, 67, 81, 67, 100, 44, 81, 67, 81, 67",2026-03-28 11:15:37,"Knowledge panel, Sitelinks, Video, Image, Related searches",navigational,Organic
indica sativa and,1,1,210,81,0,https://www.polln.com/library/sativa-vs-indica-vs-hybrid-cannabis-what-to-expect,7,0.14,0,0,149,"65, 65, 65, 80, 100, 65, 100, 100, 80, 80, 80, 80",2026-03-25 21:44:56,"Knowledge panel, Sitelinks, Video, Video Carousel, Related searches, Short videos, Discussions and forums, AI overview",informational,AI overview
medical marijuanas adelaide,6,8,260,47,52.96,https://www.polln.com/practitioners/dr-joel-wren,7,0.14,370,0.73,449000,"81, 29, 15, 10, 12, 10, 15, 29, 36, 36, 36, 36",2026-04-10 10:07:14,"Knowledge panel, Video, Related searches, AI overview",commercial,Organic
medical cannabis vape,4,4,110,22,0,https://www.polln.com/library/ultimate-guide-to-vaping-medicinal-cannabis,7,0.14,0,0,0,"34, 19, 26, 26, 19, 19, 26, 26, 80, 100, 80, 65",2026-03-10 22:34:46,"Video, Related searches",informational,Organic
how long does thc stay in your blood for,1,1,210,53,0,https://www.polln.com/library/how-long-does-cannabis-stay-in-your-system,7,0.14,0,0,0,"29, 23, 36, 54, 44, 81, 15, 1, 0, 0, 1, 19",2026-03-13 06:55:11,"Video, Related searches, Discussions and forums, AI overview",informational,AI overview
how much should weed cost,1,0,210,10,0,https://www.polln.com/library/how-much-does-medicinal-cannabis-cost-in-australia,7,0.14,0,0.01,146000000,"80, 80, 42, 100, 100, 80, 42, 80, 80, 65, 80, 65",2026-04-24 14:23:46,"Sitelinks, Video, People also ask, Discussions and forums, AI overview",informational,AI overview
list of authorised prescribers qld,3,6,260,34,98.81,https://www.polln.com/locations/brisbane,7,0.14,691,0.55,2570,"36, 36, 16, 20, 24, 20, 20, 20, 13, 13, 8, 8",2026-04-06 16:02:12,"People also ask, Related searches, AI overview",informational,Organic
best medical marijuanas australia,4,4,320,50,0,https://www.polln.com/,7,0.14,0,0,15900000,"2, 2, 4, 2, 15, 36, 81, 100, 81, 54, 54, 54",2026-03-25 06:08:53,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",commercial,Organic
medical pot doctors,5,5,210,32,115.11,https://www.polln.com/,7,0.14,805,0.06,232,"100, 80, 65, 100, 100, 80, 65, 100, 100, 100, 80, 80",2026-03-20 02:24:53,"Video, Related searches, AI overview",informational,Organic
polln login,5,3,720,12,3.68,https://www.polln.com/contact,7,0.14,25,0.02,51,"100, 81, 81, 54, 54, 81, 81, 67, 54, 81, 100, 67",2026-04-18 01:41:55,"Sitelinks, Video, Related searches","navigational, transactional",Organic
medicinal cannabinoids perth,5,68,210,38,0,https://www.polln.com/locations/perth,7,0.14,0,0,780000,"53, 53, 43, 66, 66, 66, 43, 43, 66, 66, 43, 43",2026-04-20 14:18:08,"Local pack, Video, Related searches, AI overview",commercial,Organic
how much does medical marijuanas cost,2,2,90,11,29.2,https://www.polln.com/library/how-much-does-medicinal-cannabis-cost-in-australia,7,0.14,204,0.08,172,"64, 50, 78, 78, 100, 64, 78, 64, 50, 50, 64, 50",2026-04-16 18:32:30,"Sitelinks, Video, Related searches, AI overview",informational,Organic
medical cannabis brisbane,8,8,320,36,0,https://www.polln.com/,7,0.14,0,0,0,"32, 21, 26, 26, 26, 26, 48, 48, 39, 39, 48, 39",2026-03-10 02:00:08,"Local pack, Sitelinks, Video, Related searches, AI overview",informational,Organic
thc vaping,9,0,720,70,0,https://www.polln.com/library/ultimate-guide-to-vaping-medicinal-cannabis,6,0.12,0,0,13300000,"0, 0, 0, 0, 0, 0, 0, 0, 79, 79, 100, 100",2026-04-11 05:44:16,"Sitelinks, Video, Related searches, Discussions and forums, AI overview",informational,Organic
weed vaping,5,5,1300,27,0,https://www.polln.com/library/ultimate-guide-to-vaping-medicinal-cannabis,6,0.12,0,0,21700000,"0, 0, 0, 0, 0, 0, 0, 0, 81, 100, 81, 53",2026-03-27 00:14:27,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
how long does cannabis stay in your system for,1,1,1300,60,0,https://www.polln.com/library/how-long-does-cannabis-stay-in-your-system,6,0.12,0,0,138,"36, 29, 29, 5, 8, 3, 0, 29, 2, 2, 100, 100",2026-03-10 09:10:04,"Sitelinks, Video, Related searches, Discussions and forums, AI overview",informational,AI overview
cannabis prescription online,5,4,140,39,0,https://www.polln.com/,6,0.12,0,0,207,"15, 15, 11, 26, 15, 19, 100, 100, 80, 80, 100, 100",2026-04-21 06:00:39,"Video, People also ask, Related searches",informational,Organic
sativa indica difference,8,8,720,61,0,https://www.polln.com/library/sativa-vs-indica-vs-hybrid-cannabis-what-to-expect,6,0.12,0,0,148,"76, 24, 55, 45, 100, 100, 24, 3, 1, 10, 76, 100",2026-04-04 10:55:12,"Image pack, Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview",informational,Organic
medical cannabis delivery,2,0,50,39,0,https://www.polln.com/,6,0.12,0,0,59900000,"9, 0, 9, 9, 9, 9, 63, 63, 63, 63, 100, 100",2026-04-29 14:58:15,"Knowledge panel, Video, People also ask, Related searches, Discussions and forums",informational,Organic
buy weed online,5,5,140,38,0,https://www.polln.com/,6,0.12,0,0,185,"23, 23, 23, 23, 23, 23, 28, 28, 23, 23, 23, 23",2026-03-21 00:05:27,Image,transactional,Organic
medical marijuana online,5,4,140,50,0,https://www.polln.com/,6,0.12,0,0,226,"19, 19, 26, 26, 42, 26, 100, 100, 80, 65, 65, 42",2026-04-05 16:40:30,Video,commercial,Organic
weed prescription online,4,4,210,44,0,https://www.polln.com/,6,0.12,0,0,31800000,"28, 65, 34, 81, 81, 65, 65, 100, 81, 81, 100, 100",2026-04-06 03:50:57,"Video, Related searches, Discussions and forums",commercial,Organic
sativa's,1,0,1300,62,0,https://www.polln.com/library/sativa-vs-indica-vs-hybrid-cannabis-what-to-expect,6,0.12,0,0,288000,"66, 0, 0, 100, 100, 66, 3, 0, 0, 0, 0, 66",2026-04-17 14:29:23,"Video, Video Carousel, Related searches, AI overview",commercial,AI overview
online cannabis prescription,8,8,210,47,0,https://www.polln.com/,5,0.1,0,0,0,"65, 81, 53, 65, 65, 53, 65, 34, 53, 43, 65, 100",2026-03-07 21:04:40,"Video, Related searches, AI overview",commercial,Organic
free medical cannabis consultation,5,5,170,46,0,https://www.polln.com/,5,0.1,0,0,123,"19, 15, 19, 19, 23, 19, 19, 23, 29, 29, 23, 23",2026-03-24 02:52:55,"Video, Related searches, AI overview",informational,Organic
how much does medicinal cannabis cost,3,3,90,11,29.2,https://www.polln.com/library/how-much-does-medicinal-cannabis-cost-in-australia,5,0.1,146,0.08,0,"64, 50, 35, 50, 100, 64, 78, 64, 50, 50, 50, 50",2026-03-08 01:05:38,"Video, Related searches, AI overview",informational,Organic
medical marijuanas canberra,3,3,70,29,0,https://www.polln.com/locations/canberra,5,0.1,0,0,332000,"63, 63, 45, 63, 63, 9, 63, 81, 63, 63, 100, 63",2026-03-27 15:42:49,"Sitelinks, Video, Related searches, AI overview",informational,Organic
what's the difference between sativa and indica,1,1,90,69,0,https://www.polln.com/library/sativa-vs-indica-vs-hybrid-cannabis-what-to-expect,5,0.1,0,0,22300000,"34, 100, 19, 19, 19, 26, 34, 34, 34, 42, 34, 0",2026-03-23 21:57:56,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,AI overview
online cbd prescription,4,4,90,50,20.86,https://www.polln.com/,5,0.1,104,0.88,0,"64, 50, 50, 50, 50, 64, 78, 64, 64, 78, 100, 64",2026-03-18 14:03:38,"Video, Related searches",commercial,Organic
medical canna clinic,6,6,260,45,0,https://www.polln.com/,5,0.1,0,0,67800000,"82, 100, 53, 66, 82, 66, 43, 66, 82, 66, 53, 43",2026-03-29 09:40:37,"Local pack, Video, Related searches, Discussions and forums",commercial,Organic
weed vaporizing,16,12,3600,60,0,https://www.polln.com/library/ultimate-guide-to-vaping-medicinal-cannabis,5,0.1,0,0,139000,"81, 44, 81, 100, 81, 100, 2, 44, 81, 100, 81, 53",2026-04-28 16:58:25,"Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
polln review,3,3,70,4,3.57,https://www.polln.com/pricing,5,0.1,17,0.17,0,"52, 11, 11, 52, 11, 0, 64, 82, 41, 52, 64, 29",2026-03-15 15:55:06,"Sitelinks, Related searches, AI overview",commercial,Organic
medical marijuanas prices,3,5,90,13,0,https://www.polln.com/library/how-much-does-medicinal-cannabis-cost-in-australia,5,0.1,0,0.03,27900000,"33, 52, 42, 52, 66, 42, 33, 33, 33, 33, 33, 33",2026-04-21 05:02:13,"Video, Related searches, AI overview",informational,Organic
medical marijuanas qld online,8,8,210,41,0,https://www.polln.com/,5,0.1,0,0,187000,"67, 16, 13, 8, 3, 6, 13, 16, 13, 13, 16, 6",2026-03-29 10:18:49,"Video, Related searches, AI overview",informational,Organic
cannabis vaporization,19,16,3600,34,0,https://www.polln.com/library/ultimate-guide-to-vaping-medicinal-cannabis,5,0.1,0,0,753000,"81, 44, 81, 100, 81, 100, 2, 44, 81, 100, 81, 53",2026-04-27 18:06:22,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
medical marijuanas nsw cost,9,8,260,6,27.9,https://www.polln.com/library/how-much-does-medicinal-cannabis-cost-in-australia,5,0.1,139,0.73,289000,"66, 82, 82, 66, 82, 66, 82, 82, 82, 66, 66, 53",2026-04-02 05:23:20,"Sitelinks, Video, Related searches, AI overview",informational,Organic
sativa or indica,8,8,590,76,0,https://www.polln.com/library/sativa-vs-indica-vs-hybrid-cannabis-what-to-expect,4,0.08,0,0,19500000,"20, 67, 76, 100, 20, 45, 36, 55, 45, 55, 36, 55",2026-03-27 18:16:58,"Knowledge panel, Sitelinks, Video, Related searches, Discussions and forums",informational,Organic
how long does weed stay in your blood system,6,6,210,58,0,https://www.polln.com/library/how-long-does-cannabis-stay-in-your-system,4,0.08,0,0,0,"66, 43, 66, 43, 43, 43, 35, 35, 53, 53, 53, 43",2026-03-10 23:02:22,"Video, Discussions and forums, AI overview",informational,Organic
authorised prescriber adelaide,2,2,50,25,65.96,https://www.polln.com/locations/adelaide,4,0.08,263,0.56,67,"5, 3, 3, 3, 3, 3, 4, 4, 3, 2, 3, 2",2026-04-07 19:11:44,"Video, Related searches, AI overview",informational,Organic
does weed show up on a blood test,4,4,170,59,0,https://www.polln.com/library/how-long-does-cannabis-stay-in-your-system,4,0.08,0,0,50700000,"65, 65, 53, 65, 65, 65, 65, 100, 65, 65, 80, 42",2026-03-15 00:04:55,"Sitelinks, Image, Related searches, Discussions and forums, AI overview",informational,Organic
online medical marijuana australia,4,0,70,47,0,https://www.polln.com/,4,0.08,0,0,9390000,"5, 5, 5, 5, 5, 11, 82, 100, 82, 52, 52, 41",2026-04-12 06:41:45,"Video, Related searches, AI overview",commercial,Organic
sativa vs indica bud,9,9,1600,61,0,https://www.polln.com/library/sativa-vs-indica-vs-hybrid-cannabis-what-to-expect,4,0.08,0,0,7480000,"65, 3, 4, 3, 100, 81, 3, 54, 3, 2, 54, 81",2026-03-28 06:02:47,"Image pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview","commercial, informational",Organic
how long does cannabis stay in your blood,5,5,170,62,0,https://www.polln.com/library/how-long-does-cannabis-stay-in-your-system,4,0.08,0,0,0,"100, 80, 80, 65, 65, 65, 53, 65, 53, 65, 100, 80",2026-03-10 22:49:20,"Video, Discussions and forums, AI overview",informational,Organic
alternative therapy medication online,2,0,50,48,0,https://www.polln.com/,4,0.08,0,0,104,"42, 100, 57, 57, 57",2026-04-13 03:05:42,"Video, People also ask, Related searches, AI overview","commercial, informational",Organic
pharmaceutical drugs online,3,3,140,30,2.5,https://www.polln.com/,4,0.08,10,0.85,45,"80, 80, 42, 53, 53, 53, 42, 53, 42, 34, 65, 42",2026-03-25 07:16:03,"Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
can you take medical weed on a plane,1,6,50,25,0,https://www.polln.com/library/travelling-as-a-medicinal-cannabis-patient-in-australia-what-you-need-to-know,4,0.08,0,0.33,608000,"78, 50, 35, 35, 35, 35, 50, 28, 14, 14, 14, 14",2026-04-02 00:08:53,"Sitelinks, Discussions and forums, AI overview",informational,Organic
medical cannabis prescription online,4,4,70,44,0,https://www.polln.com/,4,0.08,0,0,45400000,"18, 100, 100, 18, 100, 63, 63, 36, 81, 45, 63, 81",2026-04-07 20:19:05,"Video, Related searches, Discussions and forums",commercial,Organic
