Keyword,Position,Search Volume,Traffic,URL,Keyword Difficulty,CPC,Keyword Intents,SERP Features by Keyword
green life toowoomba,58,1300,2.73,https://greencare.com.au/,0,3.29,navigational,"organic,people_also_ask,short_videos,related_searches,knowledge_graph,google_reviews"
medigreen dispensary and clinic,37,1300,2.73,https://greencare.com.au/,0,9.73,navigational,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph"
sirius green,19,1000,2.7,https://greencare.com.au/,0,23,informational,"organic,related_searches,images"
state of calmness,4,40,2.64,https://greencare.com.au/cultivating-a-sense-of-calm-your-guide-to-inner-peace/,29,0,informational,"ai_overview,organic,people_also_ask,related_searches,images"
hot cold therapy,16,590,2.54,https://greencare.com.au/are-there-benefits-to-hot-and-cold-therapy/,0,2.89,informational,"ai_overview,organic,people_also_ask,images,related_searches"
greentree medical,18,720,2.38,https://greencare.com.au/,0,7.31,navigational,"organic,people_also_ask,related_searches,knowledge_graph,google_reviews"
peaceful calm,6,70,2.37,https://greencare.com.au/cultivating-a-sense-of-calm-your-guide-to-inner-peace/,16,0,informational,"ai_overview,video,people_also_ask,organic,related_searches,images"
patient health summary,8,110,2.17,https://greencare.com.au/healthsummary/,0,0.11,informational,"ai_overview,organic,people_also_ask,images,video"
green life clinics and dispensaries robina,50,880,1.85,https://greencare.com.au/,0,0.3,commercial,"organic,related_searches,google_reviews,knowledge_graph"
greenhouse medical,27,880,1.85,https://greencare.com.au/,0,20.61,navigational,"organic,local_pack,related_searches"
losing hair men,31,880,1.85,https://greencare.com.au/why-men-should-not-ignore-the-early-signs-of-hair-loss/,54,5.39,informational,"ai_overview,organic,people_also_ask,discussions_and_forums,images,video,related_searches"
health summary from gp,8,90,1.77,https://greencare.com.au/healthsummary/,0,4.3,informational,"ai_overview,organic,people_also_ask,related_searches"
peace and calm,6,50,1.69,https://greencare.com.au/cultivating-a-sense-of-calm-your-guide-to-inner-peace/,0,0,informational,"ai_overview,organic,people_also_ask,video,discussions_and_forums,images,related_searches"
sirius green clinic,9,110,1.65,https://greencare.com.au/,0,21.6,navigational,"organic,people_also_ask,related_searches"
health and hair,18,480,1.58,https://greencare.com.au/why-hair-health-matters-for-your-overall-wellbeing/,32,3.29,informational,"ai_overview,local_pack,people_also_ask,organic,related_searches,images"
folium rose bay,13,260,1.53,https://greencare.com.au/pages/foliumdispensary/,0,0,informational,"local_pack,organic,related_searches,images"
australian access clinics,46,720,1.51,https://greencare.com.au/,0,36.39,informational,"organic,local_pack,people_also_ask,related_searches"
green tree medical,55,720,1.51,https://greencare.com.au/,0,7.31,informational,"organic,people_also_ask,related_searches,knowledge_graph,google_reviews,images"
medicinal marijuanas online,65,720,1.51,https://greencare.com.au/,30,38.16,commercial,"organic,related_searches"
medigreen carnegie,30,720,1.51,https://greencare.com.au/,3,8.46,navigational,"organic,people_also_ask,related_searches,knowledge_graph,google_reviews,images"
medreleaf clinics,39,720,1.51,https://greencare.com.au/,0,9.41,commercial,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph"
what is calmness,8,70,1.38,https://greencare.com.au/cultivating-a-sense-of-calm-your-guide-to-inner-peace/,11,1.06,informational,"ai_overview,people_also_ask,organic,video,images,related_searches"
alternative health service,9,90,1.35,https://greencare.com.au/,20,2.28,informational,"ai_overview,organic,people_also_ask,related_searches,google_reviews,knowledge_graph"
green cross healthcare,9,90,1.35,https://greencare.com.au/,16,2.53,commercial,"organic,people_also_ask,related_searches,knowledge_graph,google_reviews,images"
wellness experts,7,50,1.28,https://greencare.com.au/wellness-experts/,0,0,commercial,"organic,google_reviews,knowledge_graph,images"
yoga for well being,7,50,1.28,https://greencare.com.au/harmony-of-body-and-mind-unlocking-the-benefits-of-yoga/,17,0,informational,"featured_snippet,people_also_ask,video,organic,local_pack,related_searches,images"
hot and cold therapy benefits,10,110,1.24,https://greencare.com.au/are-there-benefits-to-hot-and-cold-therapy/,0,1.86,informational,"ai_overview,organic,people_also_ask,discussions_and_forums,related_searches,images"
green chemist,75,590,1.24,https://greencare.com.au/,17,0.61,informational,"local_pack,organic,people_also_ask,related_searches,images"
hot to cold therapy,58,590,1.24,https://greencare.com.au/hot-and-cold-for-long-term-health-benefits-of-ice-baths-and-saunas/,0,2.89,informational,"ai_overview,organic,people_also_ask,video,related_searches,images"
how to get medical marijuanas card qld free,29,590,1.24,https://greencare.com.au/concession-program/,25,45.13,informational,"ai_overview,organic,related_searches"
signs of hair loss,44,590,1.24,https://greencare.com.au/why-men-should-not-ignore-the-early-signs-of-hair-loss/,35,5.3,informational,"ai_overview,organic,people_also_ask,discussions_and_forums,video,related_searches,images"
green dispensary stirling,15,210,1.07,https://greencare.com.au/,1,0,navigational,"organic,related_searches,google_reviews,knowledge_graph"
health for hair,22,480,1.06,https://greencare.com.au/why-hair-health-matters-for-your-overall-wellbeing/,22,3.29,informational,"ai_overview,organic,people_also_ask,related_searches,images"
calm and peaceful,9,70,1.05,https://greencare.com.au/cultivating-a-sense-of-calm-your-guide-to-inner-peace/,0,0,informational,"ai_overview,organic,people_also_ask,video,discussions_and_forums,related_searches,images"
greener scripts,6,30,1.01,https://greencare.com.au/,0,0,informational,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph"
health of hair,26,480,1.01,https://greencare.com.au/why-hair-health-matters-for-your-overall-wellbeing/,32,3.29,informational,"ai_overview,organic,people_also_ask,related_searches"
greenacre pharmacy,13,170,1.0,https://greencare.com.au/,0,0.17,navigational,"local_pack,organic,people_also_ask,related_searches"
hair loss signs men,8,50,0.99,https://greencare.com.au/why-men-should-not-ignore-the-early-signs-of-hair-loss/,27,0.48,informational,"ai_overview,images,people_also_ask,organic,discussions_and_forums,related_searches"
yoga for well-being,8,50,0.99,https://greencare.com.au/harmony-of-body-and-mind-unlocking-the-benefits-of-yoga/,42,0,informational,"ai_overview,video,people_also_ask,organic,related_searches"
greenhouse medical clinic,19,320,0.86,https://greencare.com.au/,0,22.12,navigational,"organic,local_pack,related_searches"
best online medical cannabis australia,62,390,0.82,https://greencare.com.au/,40,0,commercial,"ai_overview,organic,discussions_and_forums,people_also_ask,related_searches"
cannabis prescription online,47,390,0.82,https://greencare.com.au/,25,0,commercial,"organic,people_also_ask,related_searches"
green dispensary pharmacy,31,390,0.82,https://greencare.com.au/,0,3.1,navigational,"local_pack,organic,related_searches"
green pharma,53,390,0.82,https://greencare.com.au/,0,2.5,informational,"organic,people_also_ask,local_pack,related_searches,images"
green pharmacy,32,390,0.82,https://greencare.com.au/,7,2.5,informational,"local_pack,organic,people_also_ask,related_searches"
greens pharmacy,35,390,0.82,https://greencare.com.au/,9,2.5,navigational,"organic,local_pack,people_also_ask,related_searches,images"
medical cannabinoids brisbane,69,390,0.82,https://greencare.com.au/,28,0,commercial,"local_pack,organic,related_searches"
natural care health,24,390,0.82,https://greencare.com.au/natural-health/,26,0,commercial,"organic,local_pack,people_also_ask,related_searches"
nature care health,54,390,0.82,https://greencare.com.au/wellness-experts/,2,0,navigational,"organic,related_searches,knowledge_graph,google_reviews"
online cannabis prescription,44,390,0.82,https://greencare.com.au/,32,0,commercial,"organic,discussions_and_forums,people_also_ask,related_searches"
the greens dispensary,34,390,0.82,https://greencare.com.au/,0,1.45,navigational,"local_pack,organic,images,related_searches"
weed prescription online,53,390,0.82,https://greencare.com.au/,27,0,transactional,"organic,people_also_ask,related_searches"
benefits of ice baths and saunas,9,50,0.75,https://greencare.com.au/hot-and-cold-for-long-term-health-benefits-of-ice-baths-and-saunas/,0,0.68,informational,"ai_overview,organic,people_also_ask,discussions_and_forums,related_searches"
burnout self care,45,320,0.67,https://greencare.com.au/the-essential-guide-to-preventing-burnout/,8,0.23,informational,"ai_overview,organic,scholarly_articles,related_searches,images"
burnout self-care,47,320,0.67,https://greencare.com.au/the-essential-guide-to-preventing-burnout/,8,0.23,informational,"ai_overview,organic,discussions_and_forums,scholarly_articles,related_searches"
chemist in greenacre,39,320,0.67,https://greencare.com.au/,0,0.45,navigational,"local_pack,organic,related_searches"
green herbal,68,320,0.67,https://greencare.com.au/,0,0.07,informational,"ai_overview,images,organic,people_also_ask,related_searches"
leaf doctors newtown,38,320,0.67,https://greencare.com.au/,0,7.15,commercial,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph"
medical marijuanas adelaide,71,320,0.67,https://greencare.com.au/,24,44.6,informational,"ai_overview,organic,related_searches,google_reviews,knowledge_graph"
new year goals,26,320,0.67,https://greencare.com.au/a-practical-guide-to-crushing-your-new-years-health-and-wellness-resolutions/,5,0,informational,"ai_overview,organic,people_also_ask,discussions_and_forums,related_searches,images"
online cannabis prescription australia,29,320,0.67,https://greencare.com.au/,34,0,commercial,"organic,ai_overview,people_also_ask,discussions_and_forums,related_searches"
self care for burnout,42,320,0.67,https://greencare.com.au/the-essential-guide-to-preventing-burnout/,9,0.23,informational,"ai_overview,organic,discussions_and_forums,people_also_ask,related_searches,images"
self-care for burnout,43,320,0.67,https://greencare.com.au/the-essential-guide-to-preventing-burnout/,23,0.23,informational,"ai_overview,organic,discussions_and_forums,people_also_ask,related_searches"
greenheart medical,20,260,0.62,https://greencare.com.au/,0,12.57,navigational,"organic,related_searches,knowledge_graph,google_reviews,images"
benefits of a cold bath,16,140,0.6,https://greencare.com.au/hot-and-cold-for-long-term-health-benefits-of-ice-baths-and-saunas/,45,1.21,informational,"ai_overview,people_also_ask,organic,related_searches,images"
hair health,19,210,0.57,https://greencare.com.au/why-hair-health-matters-for-your-overall-wellbeing/,15,2.85,informational,"ai_overview,organic,people_also_ask,discussions_and_forums,related_searches,images"
green care massage,15,110,0.56,https://greencare.com.au/,0,0,commercial,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph"
benefits for stretching,36,260,0.55,https://greencare.com.au/how-can-regular-stretching-contribute-to-your-long-term-health/,17,0,informational,"ai_overview,organic,people_also_ask,video,related_searches,images"
benefits of stretch,36,260,0.55,https://greencare.com.au/how-can-regular-stretching-contribute-to-your-long-term-health/,12,0,informational,"ai_overview,organic,people_also_ask,video,related_searches,images"
benefits of stretching exercise,72,260,0.55,https://greencare.com.au/how-can-regular-stretching-contribute-to-your-long-term-health/,17,0,informational,"ai_overview,organic,people_also_ask,images,video,related_searches"
benefits of stretching exercises,78,260,0.55,https://greencare.com.au/how-can-regular-stretching-contribute-to-your-long-term-health/,20,0,informational,"ai_overview,organic,people_also_ask,video,related_searches,images"
benefits to stretching,65,260,0.55,https://greencare.com.au/how-can-regular-stretching-contribute-to-your-long-term-health/,26,0,informational,"ai_overview,organic,people_also_ask,discussions_and_forums,video,related_searches,images"
cold therapy,38,260,0.55,https://greencare.com.au/are-there-benefits-to-hot-and-cold-therapy/,45,1.57,informational,"ai_overview,organic,people_also_ask,related_searches,knowledge_graph,images"
greens dispensary blackwood,31,260,0.55,https://greencare.com.au/,0,2.37,commercial,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph"
medical cannabis australia online,25,260,0.55,https://greencare.com.au/,32,0,commercial,"organic,ai_overview,people_also_ask,related_searches"
medicinal cannabinoids sydney,73,260,0.55,https://greencare.com.au/,23,0,informational,"organic,ai_overview,local_pack,related_searches"
stretching benefit,69,260,0.55,https://greencare.com.au/how-can-regular-stretching-contribute-to-your-long-term-health/,26,0,informational,"ai_overview,organic,people_also_ask,video,images,related_searches"
stretching benefits,71,260,0.55,https://greencare.com.au/how-can-regular-stretching-contribute-to-your-long-term-health/,19,0,informational,"ai_overview,organic,people_also_ask,video,images,related_searches"
stretching exercises benefits,60,260,0.55,https://greencare.com.au/how-can-regular-stretching-contribute-to-your-long-term-health/,24,0,informational,"ai_overview,organic,people_also_ask,images,related_searches"
true green health,28,260,0.55,https://greencare.com.au/,0,12.07,commercial,"organic,local_pack,people_also_ask"
greencross healthcare,13,90,0.53,https://greencare.com.au/,2,2.53,navigational,"organic,people_also_ask,related_searches,knowledge_graph,google_reviews"
thermal therapy,12,70,0.52,https://greencare.com.au/are-there-benefits-to-hot-and-cold-therapy/,0,3.38,informational,"ai_overview,organic,people_also_ask,video,images,related_searches"
alternative medicine australia,14,90,0.5,https://greencare.com.au/,28,11.4,informational,"ai_overview,organic,people_also_ask,video,related_searches"
benefits of hot and cold therapy,17,110,0.47,https://greencare.com.au/hot-and-cold-for-long-term-health-benefits-of-ice-baths-and-saunas/,0,1.86,informational,"ai_overview,organic,people_also_ask,related_searches,images"
benefits of hot cold therapy,16,110,0.47,https://greencare.com.au/are-there-benefits-to-hot-and-cold-therapy/,0,1.86,informational,"ai_overview,organic,people_also_ask,discussions_and_forums,related_searches,images"
green square medical,48,210,0.44,https://greencare.com.au/general-practice/,0,1,navigational,"local_pack,organic,related_searches"
medi green,43,210,0.44,https://greencare.com.au/,0,10.94,informational,"organic,short_videos,people_also_ask,related_searches,knowledge_graph,google_reviews,images"
medigreen dispensary,49,210,0.44,https://greencare.com.au/,0,2.99,navigational,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph"
nectar brands,41,210,0.44,https://greencare.com.au/,0,0,commercial,"organic,people_also_ask,related_searches,images"
newtown dispensary,60,210,0.44,https://greencare.com.au/,2,9.26,navigational,"local_pack,organic,related_searches"
benefits of breathwork,20,170,0.41,https://greencare.com.au/breathe-easy-the-power-of-breathwork/,26,0,informational,"ai_overview,organic,people_also_ask,related_searches,images"
cold therapy benefits,14,70,0.39,https://greencare.com.au/are-there-benefits-to-hot-and-cold-therapy/,44,0,informational,"ai_overview,organic,people_also_ask,images,related_searches"
meditation and wellbeing,16,90,0.39,https://greencare.com.au/5-ways-meditation-improves-your-physical-health/,57,0,informational,"ai_overview,organic,people_also_ask,video,scholarly_articles,related_searches,images"
med green,12,50,0.38,https://greencare.com.au/,0,0,informational,"ai_overview,organic,images,related_searches"
mental peace,12,50,0.38,https://greencare.com.au/cultivating-a-sense-of-calm-your-guide-to-inner-peace/,48,0,informational,"ai_overview,organic,people_also_ask,discussions_and_forums,video,images,related_searches"
hot cold therapy benefits,18,110,0.36,https://greencare.com.au/hot-and-cold-for-long-term-health-benefits-of-ice-baths-and-saunas/,8,1.86,informational,"ai_overview,organic,people_also_ask,images,related_searches"
doctor for medical weed near me,38,170,0.36,https://greencare.com.au/,24,36.25,navigational,"ai_overview,organic,people_also_ask,related_searches"
folium wellness rose bay,23,170,0.36,https://greencare.com.au/pages/foliumdispensary/,0,3.3,commercial,"organic,short_videos,related_searches,google_reviews,knowledge_graph"
green dispensary erindale,31,170,0.36,https://greencare.com.au/,0,3.08,navigational,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph"
green health dispensary,15,70,0.36,https://greencare.com.au/,0,9.32,navigational,"local_pack,organic,related_searches,images"
how to avoid a burnout,66,170,0.36,https://greencare.com.au/the-essential-guide-to-preventing-burnout/,13,2.49,informational,"ai_overview,organic,people_also_ask,discussions_and_forums,short_videos,related_searches"
how to get out of fight or flight mode,33,170,0.36,https://greencare.com.au/how-to-escape-the-fight-or-flight-mode/,8,0.81,informational,"ai_overview,organic,people_also_ask,discussions_and_forums,video,related_searches"
medreleaf australia,52,170,0.36,https://greencare.com.au/,0,16.83,informational,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph"
the green dispensary stirling,25,170,0.36,https://greencare.com.au/,0,2.35,navigational,"organic,related_searches,knowledge_graph,google_reviews,third_party_reviews"
health green,17,70,0.3,https://greencare.com.au/,16,2.77,informational,"images,people_also_ask,organic,related_searches"
canary health,18,90,0.3,https://greencare.com.au/,7,12.58,commercial,"organic,people_also_ask,related_searches,knowledge_graph,google_reviews"
greens clinic,18,90,0.3,https://greencare.com.au/,3,10.8,navigational,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph"
heat and cold therapy,18,90,0.3,https://greencare.com.au/are-there-benefits-to-hot-and-cold-therapy/,15,1,informational,"ai_overview,organic,people_also_ask,video,related_searches,images"
medical cannabis telehealth,18,90,0.3,https://greencare.com.au/,32,0,informational,"organic,discussions_and_forums,related_searches"
meditation and wellness,18,90,0.3,https://greencare.com.au/5-ways-meditation-improves-your-physical-health/,41,3.66,informational,"local_pack,people_also_ask,organic,video,related_searches"
australian access clinic,49,140,0.29,https://greencare.com.au/,6,24.83,navigational,"organic,local_pack,people_also_ask,related_searches"
can i help clinic,39,140,0.29,https://greencare.com.au/,28,18.65,informational,"ai_overview,organic,people_also_ask"
cold baths benefits,52,140,0.29,https://greencare.com.au/hot-and-cold-for-long-term-health-benefits-of-ice-baths-and-saunas/,49,1.21,informational,"ai_overview,organic,people_also_ask,images,related_searches"
free medical cannabis consultation,34,140,0.29,https://greencare.com.au/,35,0,informational,"organic,local_pack,people_also_ask,related_searches"
goals health,32,140,0.29,https://greencare.com.au/a-practical-guide-to-crushing-your-new-years-health-and-wellness-resolutions/,21,0,informational,"ai_overview,organic,people_also_ask,video,related_searches,images"
green cross health,34,140,0.29,https://greencare.com.au/,15,0,informational,"organic,people_also_ask,related_searches,knowledge_graph,images"
green life clinic robina,47,140,0.29,https://greencare.com.au/,0,5.71,navigational,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph"
green life clinics logan,39,140,0.29,https://greencare.com.au/,0,8.87,commercial,"organic,people_also_ask,short_videos,related_searches,knowledge_graph,google_reviews"
green street pharmacy,37,140,0.29,https://greencare.com.au/,0,2.22,navigational,"organic,video,related_searches,knowledge_graph,google_reviews,third_party_reviews"
greenacre medical center,43,140,0.29,https://greencare.com.au/,0,3.32,navigational,"organic,google_reviews,knowledge_graph"
greenlife clinics logan,48,140,0.29,https://greencare.com.au/,0,8.87,navigational,"organic,people_also_ask,video,related_searches,third_party_reviews,google_reviews,knowledge_graph"
horizon medical weed,27,140,0.29,https://greencare.com.au/,3,7.71,informational,"organic,related_searches"
medi green carnegie,36,140,0.29,https://greencare.com.au/,0,9.99,informational,"organic,short_videos,related_searches,google_reviews,knowledge_graph,images"
medicinal cannabis adelaide,75,140,0.29,https://greencare.com.au/,24,0,commercial,"local_pack,organic,people_also_ask,related_searches"
twin green healthcare,50,140,0.29,https://greencare.com.au/,0,0,commercial,"organic,people_also_ask,related_searches,knowledge_graph,google_reviews,images"
yoga and self care,82,140,0.29,https://greencare.com.au/harmony-of-body-and-mind-unlocking-the-benefits-of-yoga/,0,0,informational,"ai_overview,organic,video,people_also_ask,images,related_searches"
zenith clinics australia,31,140,0.29,https://greencare.com.au/,0,5.07,navigational,"organic,local_pack,related_searches"
telehealth medical cannabis,15,50,0.25,https://greencare.com.au/,27,0,commercial,"organic,ai_overview,related_searches"
natura healthcare,21,110,0.25,https://greencare.com.au/,0,17.56,navigational,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph"
folium naturopathy,19,90,0.24,https://greencare.com.au/pages/foliumdispensary/,1,0,commercial,"organic,related_searches,knowledge_graph,google_reviews"
cannaaid medical,42,110,0.23,https://greencare.com.au/,2,22.98,transactional,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph"
cbd clinics australia,45,110,0.23,https://greencare.com.au/,22,14.42,commercial,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph"
cbd prescription,69,110,0.23,https://greencare.com.au/,19,31.46,informational,"ai_overview,organic,discussions_and_forums,people_also_ask,related_searches"
dispensary gold coast,78,110,0.23,https://greencare.com.au/,0,20.19,commercial,"local_pack,organic,related_searches"
gold coast dispensary,70,110,0.23,https://greencare.com.au/,0,20.19,navigational,"local_pack,organic,related_searches,images"
green dispensary st peters,32,110,0.23,https://greencare.com.au/,0,2.24,navigational,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph"
green square doctor,35,110,0.23,https://greencare.com.au/general-practice/,0,1.51,navigational,"local_pack,organic,google_reviews,related_searches"
health self,47,110,0.23,https://greencare.com.au/is-self-care-the-latest-buzzword-or-is-it-something-we-should-all-be-focusing-on/,24,0,informational,"images,organic,people_also_ask,video,related_searches"
hot and cold plunge,84,110,0.23,https://greencare.com.au/hot-and-cold-for-long-term-health-benefits-of-ice-baths-and-saunas/,0,3.13,informational,"ai_overview,organic,images,people_also_ask,related_searches"
hot and cold plunges,92,110,0.23,https://greencare.com.au/hot-and-cold-for-long-term-health-benefits-of-ice-baths-and-saunas/,0,3.13,informational,"ai_overview,organic,people_also_ask,video,related_searches,images"
hot/cold therapy benefits,44,110,0.23,https://greencare.com.au/are-there-benefits-to-hot-and-cold-therapy/,0,1.86,informational,"ai_overview,organic,people_also_ask,related_searches,images"
how to apply for medicinal weed,79,110,0.23,https://greencare.com.au/concession-program/,25,56.9,informational,"ai_overview,organic,people_also_ask,discussions_and_forums,related_searches"
how to get a medical marijuanas card,59,110,0.23,https://greencare.com.au/concession-program/,25,42.76,informational,"organic,related_searches"
i c e bath therapy,18,70,0.23,https://greencare.com.au/hot-and-cold-for-long-term-health-benefits-of-ice-baths-and-saunas/,45,3.61,informational,"ai_overview,organic,people_also_ask,video,related_searches"
medical cannabis consult,31,110,0.23,https://greencare.com.au/,32,0,informational,"organic,related_searches,google_reviews,knowledge_graph"
medical cannabis prescription online,46,110,0.23,https://greencare.com.au/,30,0,transactional,"organic,people_also_ask"
medicanna health,31,110,0.23,https://greencare.com.au/,0,0,informational,"organic,related_searches,knowledge_graph,google_reviews"
well being goals,26,110,0.23,https://greencare.com.au/a-practical-guide-to-crushing-your-new-years-health-and-wellness-resolutions/,37,0,informational,"ai_overview,organic,people_also_ask,discussions_and_forums,video,related_searches,images"
where to get medical weed,72,110,0.23,https://greencare.com.au/,34,42.75,informational,"ai_overview,organic,people_also_ask,related_searches"
medicinal cannabis telehealth,30,90,0.21,https://greencare.com.au/,31,0,informational,"organic,discussions_and_forums,related_searches"
telehealth cannabis,15,40,0.2,https://greencare.com.au/,29,0,informational,"organic,people_also_ask,related_searches"
telegreen medical,22,90,0.2,https://greencare.com.au/about-greencare/,10,23.27,navigational,"organic,knowledge_graph,google_reviews"
aus access clinics,46,90,0.19,https://greencare.com.au/,0,26.4,navigational,"organic,people_also_ask,related_searches,knowledge_graph,google_reviews"
chemcare wellness pharmacy,71,90,0.19,https://greencare.com.au/,0,0,navigational,"local_pack,organic,people_also_ask,related_searches"
dispensed clinic,54,90,0.19,https://greencare.com.au/,8,10.93,informational,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph"
foods for gut microbiome,52,90,0.19,https://greencare.com.au/you-are-what-you-eat-foods-to-help-improve-your-gut-microbiome/,30,0.49,informational,"ai_overview,organic,people_also_ask,images"
green crescent health services,50,90,0.19,https://greencare.com.au/,0,0,navigational,"organic,people_also_ask,related_searches,knowledge_graph,google_reviews"
green dispensary adelaide,50,90,0.19,https://greencare.com.au/,0,6.37,navigational,"organic,local_pack,related_searches"
green life clinics and dispensaries,39,90,0.19,https://greencare.com.au/,0,7.86,informational,"organic,local_pack,people_also_ask,related_searches"
green st pharmacy,28,90,0.19,https://greencare.com.au/,3,0,navigational,"organic,local_pack,related_searches"
green street dispensary perth,28,90,0.19,https://greencare.com.au/,5,15.67,navigational,"organic,people_also_ask,third_party_reviews,google_reviews,knowledge_graph"
